node_id,nombre,categoria,demand_mean,demand_std,demand_cv,cold_chain_demand,calibration_status,calibration_source,calibration_notes
1911,CENTRO DE SALUD AYABACA,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
1916,PUESTO DE SALUD CHOCAN,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
1920,PUESTO DE SALUD ESPINDOLA,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
1921,PUESTO DE SALUD REMOLINOS,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
1923,PUESTO DE SALUD HUIRIQUINGUE,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
1926,PUESTO DE SALUD EL TOLDO,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
1932,CENTRO DE SALUD LAS LOMAS,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
1934,PUESTO DE SALUD CHIPILLICO,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
1936,PUESTO DE SALUD PAMPA ELERA BAJA,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
1939,PUESTO DE SALUD SAN FRANCISCO DE PAMPA ELERA,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
