node_id,nombre,categoria,demand_mean_kg,demand_std_kg,demand_cv,cold_chain_demand,calibration_status,calibration_method,calibration_source,confidence_level,notes
1911,CENTRO DE SALUD AYABACA,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
1916,PUESTO DE SALUD CHOCAN,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
1920,PUESTO DE SALUD ESPINDOLA,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
1921,PUESTO DE SALUD REMOLINOS,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
1923,PUESTO DE SALUD HUIRIQUINGUE,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
1926,PUESTO DE SALUD EL TOLDO,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
1932,CENTRO DE SALUD LAS LOMAS,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
1934,PUESTO DE SALUD CHIPILLICO,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
1936,PUESTO DE SALUD PAMPA ELERA BAJA,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
1939,PUESTO DE SALUD SAN FRANCISCO DE PAMPA ELERA,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
1942,PUESTO DE SALUD GARABATOS,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
1943,CENTRO DE SALUD EL PARTIDOR,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
1944,PUESTO SALUD LA MENTA,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
1945,CENTRO DE SALUD SUYO,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
1953,PUESTO DE SALUD SANTA ANA DE QUIROZ,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
1955,CENTRO DE SALUD SAPILLICA,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
1959,CENTRO DE SALUD PAIMAS,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
1962,CENTRO DE SALUD JILILI,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
1965,CENTRO DE SALUD LAGUNAS,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
1970,CENTRO DE SALUD MONTERO,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
1974,CENTRO DE SALUD SICCHEZ,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
