selector,text,href
a,Menú,#
a,¿QUÉ ES?,?op=5#quienes
a,NORMATIVA,?op=6#normativa
a,INFORMACIÓN DEMOGRÁFICA,?op=1#
a,Mortalidad,?op=1&niv=1
a,Defunciones Registradas,?op=1&niv=1&tbl=1
a,Tasas de Mortalidad,?op=1&niv=1&tbl=2
a,SINADEF,https://www.minsa.gob.pe/defunciones/
a,Poblaciones Priorizadas,?op=1&niv=2
a,Pueblos Indígenas u Originarios,https://www.minsa.gob.pe/rissalud/plataformapisalud/
a,Natalidad,?op=1&niv=3
a,Tablero CNV en Línea,?op=1&niv=3&tbl=1
a,Registro CNV,https://www.minsa.gob.pe/cnv/
a,Padrón Nominal,?op=1&niv=4
a,Directorio,?op=1&niv=4&tbl=1
a,Población Padrón Nominal,?op=1&niv=4&tbl=2
a,Población,?op=1&niv=5
a,Población Total Estimada 2026,?op=1&niv=5&tbl=1
a,Población Asignada por EESS Minsa – 2025,?op=1&niv=5&tbl=4
a,Población Total CENSO 2017 INEI,https://censos2017.inei.gob.pe/redatam/
a,ESTRATEGIAS DE SALUD PÚBLICA,#
a,Anemia,?op=2&niv=1
a,Compromiso 1,?op=2&niv=1&tbl=9
a,Cáncer,?op=2&niv=2
a,Observatorio Nacional de Cáncer,?op=2&niv=2&tbl=2
a,Observatorio de cáncer infantil,?op=2&niv=2&tbl=3
a,Observatorio de Intervenciones,?op=2&niv=2&tbl=4
a,Discapacidad,?op=2&niv=3
a,Certificación de la Discapacidad,?op=2&niv=3&tbl=1
a,Metales Pesados,?op=2&niv=11
a,Tablero de Seguimiento,?op=2&niv=11&tbl=1#
a,Enfermedades Metaxénicas,?op=2&niv=4
a,Dengue,https://www.dge.gob.pe/portal/docs/vigilancia/sala/2025/SE35/dengue.pdf
a,Malaria,https://www.dge.gob.pe/portal/docs/vigilancia/sala/2025/SE35/malaria.pdf
a,Leishmaniasis,https://www.dge.gob.pe/portal/docs/vigilancia/sala/2025/SE35/leishmaniosis.pdf
a,Enfermedad de Carrión,https://www.dge.gob.pe/portal/docs/vigilancia/sala/2025/SE35/carrion.pdf
a,Chikungunya,https://www.dge.gob.pe/portal/docs/vigilancia/sala/2025/SE35/chikun.pdf
a,Zika,https://www.dge.gob.pe/portal/docs/vigilancia/sala/2025/SE35/zika.pdf
a,Enfermedad de Chagas,https://www.dge.gob.pe/portal/docs/vigilancia/sala/2025/SE35/chagas.pdf
a,Fiebre Amarilla,https://www.dge.gob.pe/sala-fiebre-amarilla/tablero.html
a,Enfermedades Zoonóticas,?op=2&niv=6
a,Rabia,https://www.dge.gob.pe/portal/docs/vigilancia/sala/2025/SE35/rabia.pdf
a,Carbunco,https://www.dge.gob.pe/portal/docs/vigilancia/sala/2025/SE35/carbunco.pdf
a,Leptospirosis,https://www.dge.gob.pe/portal/docs/vigilancia/sala/2025/SE35/leptospirosis.pdf
a,Ofidismo,https://www.dge.gob.pe/portal/docs/vigilancia/sala/2025/SE35/ofidismo.pdf
a,Loxoscelismo,https://www.dge.gob.pe/portal/docs/vigilancia/sala/2025/SE35/loxoscelismo.pdf
a,Peste,https://www.dge.gob.pe/portal/docs/vigilancia/sala/2025/SE35/peste.pdf
a,Influenza Aviar,https://www.dge.gob.pe/portal/docs/vigilancia/sala/2025/SE35/influenza_aviar.pdf
a,Estado Nutricional,?op=2&niv=8
a,SIEN - HISMINSA,?op=2&niv=8&tbl=1
a,Inmunizaciones,?op=2&niv=9
a,Semana de Vacunación en las Américas 2026,?op=2&niv=9&tbl=12
a,Esquema Regular,?op=2&niv=9&tbl=2
a,Salud Mental,?op=2&niv=14
a,Tablero de Seguimiento,?op=2&niv=14&tbl=1
a,Observatorio Nacional de la Enfermedad de Alzheimer y otras Demencias,?op=2&niv=14&tbl=2
a,Promoción de la Salud,?op=2&niv=12
a,Indicadores de Promoción de la Salud,?op=2&niv=12&tbl=1
a,Intervenciones por Curso de Vida,?op=2&niv=10
a,Adolescente,?op=2&niv=10&tbl=2
a,Joven,?op=2&niv=10&tbl=3
a,Adulto,?op=2&niv=10&tbl=4
a,Adulto Mayor,?op=2&niv=10&tbl=5
a,Salud Bucal,?op=2&niv=13
a,Tablero de Seguimiento,?op=2&niv=13&tbl=1
a,Tuberculosis,?op=2&niv=15
a,Tablero de Datos,http://www.tuberculosis.minsa.gob.pe/DashboardDPCTB/Dashboard.aspx
a,Epidemiología,?op=2&niv=7
a,Boletines Epidemiológicos,https://www.dge.gob.pe/portalnuevo/publicaciones/boletines-epidemiologicos/
a,Dengue,https://www.dge.gob.pe/sala-situacional-dengue/#grafico01
a,COVID-19 - Sala Situacional,https://www.dge.gob.pe/portalnuevo/salas-situacionales/enfermedades-transmisibles/covid-19/situacion-del-covid-19-en-el-peru/
a,PRESTACIONES EN SALUD,#
a,"Manuales y Códigos (CIE10, CPM)",?op=3&niv=1
a,CIE-10 (OPS),https://www.minsa.gob.pe/reunis/data/volumen1-2018.pdf
a,CIE-10 (MINSA – Excel),https://files.minsa.gob.pe/s/szimSEZTwFrQR25
a,Manuales de Registro - HIS MINSA,https://files.minsa.gob.pe/s/74MZgRMddAx7mw2
a,USO DE CODIGOS CIE-10 (RM 447-2024),https://files.minsa.gob.pe/s/KZfTNeDTx9fnSnM
a,CESE DE USO DE CODIGOS CIE-10 (RM 447-2024),https://files.minsa.gob.pe/s/d5jcnbaoGRNfFcd
a,CATÁLOGOS DE PROCEDIMIENTOS MÉDICOS Y SANITARIOS DEL SECTOR SALUD – CPMS,https://files.minsa.gob.pe/s/dKEnmyJcG5HXCHK
a,COVID-19,?op=3&niv=2
a,Laboratorios para Detección Molecular,?op=3&niv=2&tbl=1
a,Emergencias y Hospitalización,?op=3&niv=3
a,Monitoreo de Camas,?op=3&niv=3&tbl=1
a,Emergencias Hospitalarias,?op=3&niv=3&tbl=3
a,Egresos,?op=3&niv=3&tbl=4
a,Medicamentos,?op=3&niv=5
a,SISMED: Capacidad Instalada,https://app.powerbi.com/view?r=eyJrIjoiMWQwMDE0MTQtZGJjYy00ODhhLTlmYzUtYjY5ZDE2ZThjY2I3IiwidCI6IjExMzgxOTYwLWVkYWMtNGRkNC1hZTQ0LWViZGRmNGE3OTVjYyJ9
a,Disponibilidad de Medicamentos por EESS,https://app.powerbi.com/view?r=eyJrIjoiMDZmZjE0OTctMDhhMy00NGEyLWFlYTktODExNDFjMDc0Yjc0IiwidCI6IjExMzgxOTYwLWVkYWMtNGRkNC1hZTQ0LWViZGRmNGE3OTVjYyJ9 
a,Disponibilidad de Medicamentos – Ámbito Jurisdiccional,https://app.powerbi.com/view?r=eyJrIjoiN2FhNzI5MzYtZTcyOS00ZWM3LTllN2ItZTBmYWY3Y2ZmM2EzIiwidCI6IjExMzgxOTYwLWVkYWMtNGRkNC1hZTQ0LWViZGRmNGE3OTVjYyJ9 
