text,href
Menú,#
¿QUÉ ES?,?op=5#quienes
NORMATIVA,?op=6#normativa
INFORMACIÓN DEMOGRÁFICA,?op=1#
Mortalidad,?op=1&niv=1
Defunciones Registradas,?op=1&niv=1&tbl=1
Tasas de Mortalidad,?op=1&niv=1&tbl=2
SINADEF,https://www.minsa.gob.pe/defunciones/
Poblaciones Priorizadas,?op=1&niv=2
Pueblos Indígenas u Originarios,https://www.minsa.gob.pe/rissalud/plataformapisalud/
Natalidad,?op=1&niv=3
Tablero CNV en Línea,?op=1&niv=3&tbl=1
Registro CNV,https://www.minsa.gob.pe/cnv/
Padrón Nominal,?op=1&niv=4
Directorio,?op=1&niv=4&tbl=1
Población Padrón Nominal,?op=1&niv=4&tbl=2
Población,?op=1&niv=5
Población Total Estimada 2026,?op=1&niv=5&tbl=1
Población Asignada por EESS Minsa – 2025,?op=1&niv=5&tbl=4
Población Total CENSO 2017 INEI,https://censos2017.inei.gob.pe/redatam/
ESTRATEGIAS DE SALUD PÚBLICA,#
Anemia,?op=2&niv=1
Compromiso 1,?op=2&niv=1&tbl=9
Cáncer,?op=2&niv=2
Observatorio Nacional de Cáncer,?op=2&niv=2&tbl=2
Observatorio de cáncer infantil,?op=2&niv=2&tbl=3
Observatorio de Intervenciones,?op=2&niv=2&tbl=4
Discapacidad,?op=2&niv=3
Certificación de la Discapacidad,?op=2&niv=3&tbl=1
Metales Pesados,?op=2&niv=11
Tablero de Seguimiento,?op=2&niv=11&tbl=1#
Enfermedades Metaxénicas,?op=2&niv=4
Dengue,https://www.dge.gob.pe/portal/docs/vigilancia/sala/2025/SE35/dengue.pdf
Malaria,https://www.dge.gob.pe/portal/docs/vigilancia/sala/2025/SE35/malaria.pdf
Leishmaniasis,https://www.dge.gob.pe/portal/docs/vigilancia/sala/2025/SE35/leishmaniosis.pdf
Enfermedad de Carrión,https://www.dge.gob.pe/portal/docs/vigilancia/sala/2025/SE35/carrion.pdf
Chikungunya,https://www.dge.gob.pe/portal/docs/vigilancia/sala/2025/SE35/chikun.pdf
Zika,https://www.dge.gob.pe/portal/docs/vigilancia/sala/2025/SE35/zika.pdf
Enfermedad de Chagas,https://www.dge.gob.pe/portal/docs/vigilancia/sala/2025/SE35/chagas.pdf
Fiebre Amarilla,https://www.dge.gob.pe/sala-fiebre-amarilla/tablero.html
Enfermedades Zoonóticas,?op=2&niv=6
Rabia,https://www.dge.gob.pe/portal/docs/vigilancia/sala/2025/SE35/rabia.pdf
Carbunco,https://www.dge.gob.pe/portal/docs/vigilancia/sala/2025/SE35/carbunco.pdf
Leptospirosis,https://www.dge.gob.pe/portal/docs/vigilancia/sala/2025/SE35/leptospirosis.pdf
Ofidismo,https://www.dge.gob.pe/portal/docs/vigilancia/sala/2025/SE35/ofidismo.pdf
Loxoscelismo,https://www.dge.gob.pe/portal/docs/vigilancia/sala/2025/SE35/loxoscelismo.pdf
Peste,https://www.dge.gob.pe/portal/docs/vigilancia/sala/2025/SE35/peste.pdf
Influenza Aviar,https://www.dge.gob.pe/portal/docs/vigilancia/sala/2025/SE35/influenza_aviar.pdf
Estado Nutricional,?op=2&niv=8
SIEN - HISMINSA,?op=2&niv=8&tbl=1
Inmunizaciones,?op=2&niv=9
Semana de Vacunación en las Américas 2026,?op=2&niv=9&tbl=12
Esquema Regular,?op=2&niv=9&tbl=2
Salud Mental,?op=2&niv=14
Tablero de Seguimiento,?op=2&niv=14&tbl=1
Observatorio Nacional de la Enfermedad de Alzheimer y otras Demencias,?op=2&niv=14&tbl=2
Promoción de la Salud,?op=2&niv=12
Indicadores de Promoción de la Salud,?op=2&niv=12&tbl=1
Intervenciones por Curso de Vida,?op=2&niv=10
Adolescente,?op=2&niv=10&tbl=2
Joven,?op=2&niv=10&tbl=3
Adulto,?op=2&niv=10&tbl=4
Adulto Mayor,?op=2&niv=10&tbl=5
Salud Bucal,?op=2&niv=13
Tablero de Seguimiento,?op=2&niv=13&tbl=1
Tuberculosis,?op=2&niv=15
Tablero de Datos,http://www.tuberculosis.minsa.gob.pe/DashboardDPCTB/Dashboard.aspx
Epidemiología,?op=2&niv=7
Boletines Epidemiológicos,https://www.dge.gob.pe/portalnuevo/publicaciones/boletines-epidemiologicos/
Dengue,https://www.dge.gob.pe/sala-situacional-dengue/#grafico01
COVID-19 - Sala Situacional,https://www.dge.gob.pe/portalnuevo/salas-situacionales/enfermedades-transmisibles/covid-19/situacion-del-covid-19-en-el-peru/
PRESTACIONES EN SALUD,#
"Manuales y Códigos (CIE10, CPM)",?op=3&niv=1
CIE-10 (OPS),https://www.minsa.gob.pe/reunis/data/volumen1-2018.pdf
CIE-10 (MINSA – Excel),https://files.minsa.gob.pe/s/szimSEZTwFrQR25
Manuales de Registro - HIS MINSA,https://files.minsa.gob.pe/s/74MZgRMddAx7mw2
