timestamp,literal
20260516_171023_936130,"{""Commands"":[{""SemanticQueryDataShapeCommand"":{""Query"":{""Version"":2,""From"":[{""Name"":""p"",""Entity"":""Periodo_variable"",""Type"":0},{""Name"":""s"",""Entity"":""Switch_4"",""Type"":0},{""Name"":""s1"",""Entity"":""Switch_3"",""Type"":0},{""Name"":""s2"",""Entity"":""Switch_22"",""Type"":0},{""Name"":""s3"",""Entity"":""Switch_21"",""Type"":0},{""Name"":""s4"",""Entity"":""Switch_1"",""Type"":0},{""Name"":""m"",""Entity"":""medicame"",""Type"":0},{""Name"":""m1"",""Entity"":""metricas"",""Type"":0},{""Name"":""c"",""Entity"":""CATALOGO-DISAS"",""Type"":0},{""Name"":""c1"",""Entity"":""CATALOGO_IPRESS_AEMS"",""Type"":0}],""Select"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""p""}},""Property"":""Periodo_variable""},""Name"":""Periodo_variable.Periodo_variable""}],""Where"":[{""Condition"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""s""}},""Property"":""Switch_4""}},""Right"":{""Literal"":{""Value"":""2D""}}}}},{""Condition"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""s1""}},""Property"":""Switch_3""}},""Right"":{""Literal"":{""Value"":""2D""}}}}},{""Condition"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""s2""}},""Property"":""Switch_22""}},""Right"":{""Literal"":{""Value"":""1D""}}}}},{""Condition"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""s3""}},""Property"":""Switch_21""}},""Right"":{""Literal"":{""Value"":""1D""}}}}},{""Condition"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""s4""}},""Property"":""Switch_1""}},""Right"":{""Literal"":{""Value"":""1D""}}}}},{""Condition"":{""In"":{""Expressions"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""m""}},""Property"":""Cod_nombre2""}}],""Values"":[[{""Literal"":{""Value"":""'(04764) METOTREXATO  2.5 mg TABLETA'""}}]]}}},{""Condition"":{""In"":{""Expressions"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""m1""}},""Property"":""metricas Campos""}}],""Values"":[[{""Literal"":{""Value"":""'''data_historica_dispo12_consumo''[m_consumo]'""}}]]}}},{""Condition"":{""Not"":{""Expression"":{""In"":{""Expressions"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""m""}},""Property"":""separador1.1""}}],""Values"":[[{""Literal"":{""Value"":""null""}}]]}}}}},{""Condition"":{""Not"":{""Expression"":{""In"":{""Expressions"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""c""}},""Property"":""DISA""}}],""Values"":[[{""Literal"":{""Value"":""null""}}]]}}}}},{""Condition"":{""And"":{""Left"":{""Not"":{""Expression"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""c1""}},""Property"":""DESCRIP""}},""Right"":{""Literal"":{""Value"":""''""}}}}}},""Right"":{""Not"":{""Expression"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""c1""}},""Property"":""DESCRIP""}},""Right"":{""Literal"":{""Value"":""null""}}}}}}}}},{""Condition"":{""Not"":{""Expression"":{""In"":{""Expressions"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""c1""}},""Property"":""tipo_completo""}}],""Values"":[[{""Literal"":{""Value"":""'ALM_LOG'""}}],[{""Literal"":{""Value"":""'ALMACEN'""}}],[{""Literal"":{""Value"":""'SUBALMACEN'""}}],[{""Literal"":{""Value"":""'X'""}}]]}}}}},{""Condition"":{""Not"":{""Expression"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""m""}},""Property"":""existe_stock""}},""Right"":{""Literal"":{""Value"":""null""}}}}}}}]},""Binding"":{""Primary"":{""Groupings"":[{""Projections"":[0]}]},""DataReduction"":{""DataVolume"":3,""Primary"":{""Window"":{""Count"":100}}},""IncludeEmptyGroups"":true,""Version"":1},""ExecutionMetricsKind"":1}}]}"
20260516_171023_938190,"{""Commands"":[{""SemanticQueryDataShapeCommand"":{""Query"":{""Version"":2,""From"":[{""Name"":""d"",""Entity"":""data_historica_dispo12_consumo"",""Type"":0},{""Name"":""p"",""Entity"":""Periodo_variable"",""Type"":0},{""Name"":""s"",""Entity"":""Switch_4"",""Type"":0},{""Name"":""s1"",""Entity"":""Switch_3"",""Type"":0},{""Name"":""s2"",""Entity"":""Switch_22"",""Type"":0},{""Name"":""s3"",""Entity"":""Switch_21"",""Type"":0},{""Name"":""s4"",""Entity"":""Switch_1"",""Type"":0},{""Name"":""m"",""Entity"":""medicame"",""Type"":0},{""Name"":""m1"",""Entity"":""metricas"",""Type"":0},{""Name"":""c"",""Entity"":""CATALOGO-DISAS"",""Type"":0},{""Name"":""c1"",""Entity"":""CATALOGO_IPRESS_AEMS"",""Type"":0}],""Select"":[{""Measure"":{""Expression"":{""SourceRef"":{""Source"":""d""}},""Property"":""num_reg""},""Name"":""data_historica_dispo12_consumo.num_reg""}],""Where"":[{""Condition"":{""In"":{""Expressions"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""p""}},""Property"":""Periodo_variable Campos""}}],""Values"":[[{""Literal"":{""Value"":""'''data_historica_dispo12_consumo''[mesano]'""}}]]}}},{""Condition"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""s""}},""Property"":""Switch_4""}},""Right"":{""Literal"":{""Value"":""2D""}}}}},{""Condition"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""s1""}},""Property"":""Switch_3""}},""Right"":{""Literal"":{""Value"":""2D""}}}}},{""Condition"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""s2""}},""Property"":""Switch_22""}},""Right"":{""Literal"":{""Value"":""1D""}}}}},{""Condition"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""s3""}},""Property"":""Switch_21""}},""Right"":{""Literal"":{""Value"":""1D""}}}}},{""Condition"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""s4""}},""Property"":""Switch_1""}},""Right"":{""Literal"":{""Value"":""1D""}}}}},{""Condition"":{""In"":{""Expressions"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""m""}},""Property"":""Cod_nombre2""}}],""Values"":[[{""Literal"":{""Value"":""'(04764) METOTREXATO  2.5 mg TABLETA'""}}]]}}},{""Condition"":{""In"":{""Expressions"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""m1""}},""Property"":""metricas Campos""}}],""Values"":[[{""Literal"":{""Value"":""'''data_historica_dispo12_consumo''[m_consumo]'""}}]]}}},{""Condition"":{""Not"":{""Expression"":{""In"":{""Expressions"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""m""}},""Property"":""separador1.1""}}],""Values"":[[{""Literal"":{""Value"":""null""}}]]}}}}},{""Condition"":{""Not"":{""Expression"":{""In"":{""Expressions"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""c""}},""Property"":""DISA""}}],""Values"":[[{""Literal"":{""Value"":""null""}}]]}}}}},{""Condition"":{""And"":{""Left"":{""Not"":{""Expression"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""c1""}},""Property"":""DESCRIP""}},""Right"":{""Literal"":{""Value"":""''""}}}}}},""Right"":{""Not"":{""Expression"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""c1""}},""Property"":""DESCRIP""}},""Right"":{""Literal"":{""Value"":""null""}}}}}}}}},{""Condition"":{""Not"":{""Expression"":{""In"":{""Expressions"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""c1""}},""Property"":""tipo_completo""}}],""Values"":[[{""Literal"":{""Value"":""'ALM_LOG'""}}],[{""Literal"":{""Value"":""'ALMACEN'""}}],[{""Literal"":{""Value"":""'SUBALMACEN'""}}],[{""Literal"":{""Value"":""'X'""}}]]}}}}},{""Condition"":{""Not"":{""Expression"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""m""}},""Property"":""existe_stock""}},""Right"":{""Literal"":{""Value"":""null""}}}}}}}]},""Binding"":{""Primary"":{""Groupings"":[{""Projections"":[0]}]},""DataReduction"":{""DataVolume"":3,""Primary"":{""Top"":{}}},""Version"":1},""ExecutionMetricsKind"":1}}]}"
20260516_171023_941189,"{""Commands"":[{""SemanticQueryDataShapeCommand"":{""Query"":{""Version"":2,""From"":[{""Name"":""d"",""Entity"":""data_historica_dispo12_consumo"",""Type"":0},{""Name"":""m"",""Entity"":""medicame"",""Type"":0},{""Name"":""c"",""Entity"":""CATALOGO_IPRESS_AEMS"",""Type"":0},{""Name"":""p"",""Entity"":""Periodo_variable"",""Type"":0},{""Name"":""s"",""Entity"":""Switch_4"",""Type"":0},{""Name"":""s1"",""Entity"":""Switch_3"",""Type"":0},{""Name"":""s2"",""Entity"":""Switch_22"",""Type"":0},{""Name"":""s3"",""Entity"":""Switch_21"",""Type"":0},{""Name"":""s4"",""Entity"":""Switch_1"",""Type"":0},{""Name"":""m1"",""Entity"":""metricas"",""Type"":0},{""Name"":""c1"",""Entity"":""CATALOGO-DISAS"",""Type"":0}],""Select"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""m""}},""Property"":""Cod_nombre2""},""Name"":""medicame.Cod_nombre2""},{""Aggregation"":{""Expression"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""d""}},""Property"":""M01_tot""}},""Function"":0},""Name"":""Sum(data_historica_dispo12_consumo.M01_tot)"",""NativeReferenceName"":""consumo""},{""Column"":{""Expression"":{""SourceRef"":{""Source"":""c""}},""Property"":""tipo_completo""},""Name"":""CATALOGO_IPRESS_AEMS.tipo_completo"",""NativeReferenceName"":""tipo_completo""}],""Where"":[{""Condition"":{""In"":{""Expressions"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""p""}},""Property"":""Periodo_variable Campos""}}],""Values"":[[{""Literal"":{""Value"":""'''data_historica_dispo12_consumo''[mesano]'""}}]]}}},{""Condition"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""s""}},""Property"":""Switch_4""}},""Right"":{""Literal"":{""Value"":""2D""}}}}},{""Condition"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""s1""}},""Property"":""Switch_3""}},""Right"":{""Literal"":{""Value"":""2D""}}}}},{""Condition"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""s2""}},""Property"":""Switch_22""}},""Right"":{""Literal"":{""Value"":""1D""}}}}},{""Condition"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""s3""}},""Property"":""Switch_21""}},""Right"":{""Literal"":{""Value"":""1D""}}}}},{""Condition"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""s4""}},""Property"":""Switch_1""}},""Right"":{""Literal"":{""Value"":""1D""}}}}},{""Condition"":{""In"":{""Expressions"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""m""}},""Property"":""Cod_nombre2""}}],""Values"":[[{""Literal"":{""Value"":""'(04764) METOTREXATO  2.5 mg TABLETA'""}}]]}}},{""Condition"":{""In"":{""Expressions"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""m1""}},""Property"":""metricas Campos""}}],""Values"":[[{""Literal"":{""Value"":""'''data_historica_dispo12_consumo''[m_consumo]'""}}]]}}},{""Condition"":{""Not"":{""Expression"":{""In"":{""Expressions"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""m""}},""Property"":""separador1.1""}}],""Values"":[[{""Literal"":{""Value"":""null""}}]]}}}}},{""Condition"":{""Not"":{""Expression"":{""In"":{""Expressions"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""c1""}},""Property"":""DISA""}}],""Values"":[[{""Literal"":{""Value"":""null""}}]]}}}}},{""Condition"":{""And"":{""Left"":{""Not"":{""Expression"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""c""}},""Property"":""DESCRIP""}},""Right"":{""Literal"":{""Value"":""''""}}}}}},""Right"":{""Not"":{""Expression"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""c""}},""Property"":""DESCRIP""}},""Right"":{""Literal"":{""Value"":""null""}}}}}}}}},{""Condition"":{""Not"":{""Expression"":{""In"":{""Expressions"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""c""}},""Property"":""tipo_completo""}}],""Values"":[[{""Literal"":{""Value"":""'ALM_LOG'""}}],[{""Literal"":{""Value"":""'ALMACEN'""}}],[{""Literal"":{""Value"":""'SUBALMACEN'""}}],[{""Literal"":{""Value"":""'X'""}}]]}}}}},{""Condition"":{""Not"":{""Expression"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""m""}},""Property"":""existe_stock""}},""Right"":{""Literal"":{""Value"":""null""}}}}}}}],""OrderBy"":[{""Direction"":2,""Expression"":{""Aggregation"":{""Expression"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""d""}},""Property"":""M01_tot""}},""Function"":0}}}]},""Binding"":{""Primary"":{""Groupings"":[{""Projections"":[0,1]}]},""Secondary"":{""Groupings"":[{""Projections"":[2]}]},""DataReduction"":{""DataVolume"":4,""Primary"":{""Window"":{""Count"":200}},""Secondary"":{""Top"":{""Count"":60}}},""Version"":1},""ExecutionMetricsKind"":1}}]}"
20260516_171023_951595,"{""Commands"":[{""SemanticQueryDataShapeCommand"":{""Query"":{""Version"":2,""From"":[{""Name"":""d"",""Entity"":""data_historica_dispo12_consumo"",""Type"":0},{""Name"":""m"",""Entity"":""medicame"",""Type"":0},{""Name"":""c"",""Entity"":""CATALOGO_IPRESS_AEMS"",""Type"":0},{""Name"":""p"",""Entity"":""Periodo_variable"",""Type"":0},{""Name"":""s"",""Entity"":""Switch_4"",""Type"":0},{""Name"":""s1"",""Entity"":""Switch_3"",""Type"":0},{""Name"":""s2"",""Entity"":""Switch_22"",""Type"":0},{""Name"":""s3"",""Entity"":""Switch_21"",""Type"":0},{""Name"":""s4"",""Entity"":""Switch_1"",""Type"":0},{""Name"":""m1"",""Entity"":""metricas"",""Type"":0},{""Name"":""c1"",""Entity"":""CATALOGO-DISAS"",""Type"":0}],""Select"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""d""}},""Property"":""codigo_med""},""Name"":""data_historica_dispo12_consumo.codigo_med""},{""Column"":{""Expression"":{""SourceRef"":{""Source"":""d""}},""Property"":""tipsum""},""Name"":""data_historica_dispo12_consumo.tipsum""},{""Aggregation"":{""Expression"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""d""}},""Property"":""M01_tot""}},""Function"":0},""Name"":""Sum(data_historica_dispo12_consumo.M01_tot)""},{""Aggregation"":{""Expression"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""d""}},""Property"":""precio""}},""Function"":1},""Name"":""Sum(data_historica_dispo12_consumo.precio)""},{""Column"":{""Expression"":{""SourceRef"":{""Source"":""m""}},""Property"":""Cod_nombre""},""Name"":""medicame.Cod_nombre""},{""Column"":{""Expression"":{""SourceRef"":{""Source"":""c""}},""Property"":""tipo_completo""},""Name"":""CATALOGO_IPRESS_AEMS.tipo_completo""},{""Measure"":{""Expression"":{""SourceRef"":{""Source"":""d""}},""Property"":""m_consumo_vta""},""Name"":""data_historica_dispo12_consumo.m_consumo_vta"",""NativeReferenceName"":""Consumo_venta""},{""Measure"":{""Expression"":{""SourceRef"":{""Source"":""d""}},""Property"":""m_consumo_sis""},""Name"":""data_historica_dispo12_consumo.m_consumo_sis"",""NativeReferenceName"":""Consumo_sis""},{""Measure"":{""Expression"":{""SourceRef"":{""Source"":""d""}},""Property"":""m_consumo_intersan""},""Name"":""data_historica_dispo12_consumo.m_consumo_intersan"",""NativeReferenceName"":""Consumo_intersan""},{""Measure"":{""Expression"":{""SourceRef"":{""Source"":""d""}},""Property"":""n_stock2""},""Name"":""data_historica_dispo12_consumo.n_stock2"",""NativeReferenceName"":""Stock.""},{""Column"":{""Expression"":{""SourceRef"":{""Source"":""d""}},""Property"":""mesano""},""Name"":""data_historica_dispo12_consumo.mesano"",""NativeReferenceName"":""Meses""}],""Where"":[{""Condition"":{""In"":{""Expressions"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""p""}},""Property"":""Periodo_variable Campos""}}],""Values"":[[{""Literal"":{""Value"":""'''data_historica_dispo12_consumo''[mesano]'""}}]]}}},{""Condition"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""s""}},""Property"":""Switch_4""}},""Right"":{""Literal"":{""Value"":""2D""}}}}},{""Condition"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""s1""}},""Property"":""Switch_3""}},""Right"":{""Literal"":{""Value"":""2D""}}}}},{""Condition"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""s2""}},""Property"":""Switch_22""}},""Right"":{""Literal"":{""Value"":""1D""}}}}},{""Condition"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""s3""}},""Property"":""Switch_21""}},""Right"":{""Literal"":{""Value"":""1D""}}}}},{""Condition"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""s4""}},""Property"":""Switch_1""}},""Right"":{""Literal"":{""Value"":""1D""}}}}},{""Condition"":{""In"":{""Expressions"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""m""}},""Property"":""Cod_nombre2""}}],""Values"":[[{""Literal"":{""Value"":""'(04764) METOTREXATO  2.5 mg TABLETA'""}}]]}}},{""Condition"":{""In"":{""Expressions"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""m1""}},""Property"":""metricas Campos""}}],""Values"":[[{""Literal"":{""Value"":""'''data_historica_dispo12_consumo''[m_consumo]'""}}]]}}},{""Condition"":{""Not"":{""Expression"":{""In"":{""Expressions"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""m""}},""Property"":""separador1.1""}}],""Values"":[[{""Literal"":{""Value"":""null""}}]]}}}}},{""Condition"":{""Not"":{""Expression"":{""In"":{""Expressions"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""c1""}},""Property"":""DISA""}}],""Values"":[[{""Literal"":{""Value"":""null""}}]]}}}}},{""Condition"":{""And"":{""Left"":{""Not"":{""Expression"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""c""}},""Property"":""DESCRIP""}},""Right"":{""Literal"":{""Value"":""''""}}}}}},""Right"":{""Not"":{""Expression"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""c""}},""Property"":""DESCRIP""}},""Right"":{""Literal"":{""Value"":""null""}}}}}}}}},{""Condition"":{""Not"":{""Expression"":{""In"":{""Expressions"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""c""}},""Property"":""tipo_completo""}}],""Values"":[[{""Literal"":{""Value"":""'ALM_LOG'""}}],[{""Literal"":{""Value"":""'ALMACEN'""}}],[{""Literal"":{""Value"":""'SUBALMACEN'""}}],[{""Literal"":{""Value"":""'X'""}}]]}}}}},{""Condition"":{""Not"":{""Expression"":{""Comparison"":{""ComparisonKind"":0,""Left"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""m""}},""Property"":""existe_stock""}},""Right"":{""Literal"":{""Value"":""null""}}}}}}}],""OrderBy"":[{""Direction"":1,""Expression"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""m""}},""Property"":""Cod_nombre""}}}]},""Binding"":{""Primary"":{""Groupings"":[{""Projections"":[0,1,2,3,4,5,6,7,8,9,10]}]},""DataReduction"":{""DataVolume"":3,""Primary"":{""Window"":{""Count"":500}}},""Version"":1},""ExecutionMetricsKind"":1}}]}"
20260516_171032_716814,Red
20260516_171032_716814,CATALOGO_IPRESS_AEMS.Red
20260516_171034_756694,Red
20260516_171034_756694,CATALOGO_IPRESS_AEMS.Red
20260516_171034_756694,'NORTE'
20260516_171034_756694,'NORTE'
