timestamp,url,territorial,where_count,literal_count,payload_file,response_file
20260516_171023_932117,https://wabi-paas-1-scus-api.analysis.windows.net/public/reports/querydata?synchronous=true,False,1,0,analytics/lcc_export_pipeline\payloads\query_20260516_171023_932117.json,analytics/lcc_export_pipeline\responses\response_20260516_171023_932117.json
20260516_171023_936130,https://wabi-paas-1-scus-api.analysis.windows.net/public/reports/querydata?synchronous=true,True,1,1,analytics/lcc_export_pipeline\payloads\query_20260516_171023_936130.json,analytics/lcc_export_pipeline\responses\response_20260516_171023_936130.json
20260516_171023_938190,https://wabi-paas-1-scus-api.analysis.windows.net/public/reports/querydata?synchronous=true,True,1,1,analytics/lcc_export_pipeline\payloads\query_20260516_171023_938190.json,analytics/lcc_export_pipeline\responses\response_20260516_171023_938190.json
20260516_171023_939188,https://wabi-paas-1-scus-api.analysis.windows.net/public/reports/querydata?synchronous=true,False,1,0,analytics/lcc_export_pipeline\payloads\query_20260516_171023_939188.json,analytics/lcc_export_pipeline\responses\response_20260516_171023_939188.json
20260516_171023_941189,https://wabi-paas-1-scus-api.analysis.windows.net/public/reports/querydata?synchronous=true,True,1,1,analytics/lcc_export_pipeline\payloads\query_20260516_171023_941189.json,analytics/lcc_export_pipeline\responses\response_20260516_171023_941189.json
20260516_171023_943191,https://wabi-paas-1-scus-api.analysis.windows.net/public/reports/querydata?synchronous=true,False,1,0,analytics/lcc_export_pipeline\payloads\query_20260516_171023_943191.json,analytics/lcc_export_pipeline\responses\response_20260516_171023_943191.json
20260516_171023_948594,https://wabi-paas-1-scus-api.analysis.windows.net/public/reports/querydata?synchronous=true,False,1,0,analytics/lcc_export_pipeline\payloads\query_20260516_171023_948594.json,analytics/lcc_export_pipeline\responses\response_20260516_171023_948594.json
20260516_171023_951595,https://wabi-paas-1-scus-api.analysis.windows.net/public/reports/querydata?synchronous=true,True,1,1,analytics/lcc_export_pipeline\payloads\query_20260516_171023_951595.json,analytics/lcc_export_pipeline\responses\response_20260516_171023_951595.json
20260516_171032_716814,https://wabi-paas-1-scus-api.analysis.windows.net/public/reports/querydata?synchronous=true,True,1,2,analytics/lcc_export_pipeline\payloads\query_20260516_171032_716814.json,analytics/lcc_export_pipeline\responses\response_20260516_171032_716814.json
20260516_171034_756694,https://wabi-paas-1-scus-api.analysis.windows.net/public/reports/querydata?synchronous=true,True,1,6,analytics/lcc_export_pipeline\payloads\query_20260516_171034_756694.json,analytics/lcc_export_pipeline\responses\response_20260516_171034_756694.json
