responsable,direccion,unidadejec,codigounico,idunidadejec,disa,provincia,horaatencion,id,categoria,telefeno,idred,situacion,clasificacion,departamento,inicioactividad,codigounico2,nombrerazonsocial,idautosanit,distrito,ubigeo,tipodocumentocategoria,estado,institucion,red,condicion,fecha_inspecion,tipo,numerocategoria,microred,inspecion,idmicrored,query_primary,query_secondary,query_fallback,latitude,longitude,geocode_source,geocode_confidence,geocode_level,geocode_status,geocode_notes,geocode_priority,geocode_query_used,geocode_attempts,geocode_provider,geocode_timestamp,geocode_display_name,geocode_type,geocode_importance,geocode_bbox
,JIRÓN JR. MONTERO 400 AYABACA JR. MONTERO 400 AYABACA AYABACA AYABACA PIURA,,1911,,,AYABACA,,1853,,,,,,PIURA,,1911,CENTRO DE SALUD AYABACA,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"CENTRO DE SALUD AYABACA, AYABACA, AYABACA, PIURA, PERU","JIRÓN JR. MONTERO 400 AYABACA JR. MONTERO 400 AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6359601,-79.7138753,NOMINATIM,MEDIUM,PRIMARY,SUCCESS,,PRIMARY,"CENTRO DE SALUD AYABACA, AYABACA, AYABACA, PIURA, PERU",1,NOMINATIM,2026-05-16T02:59:36.812690,"Establecimiento de Salud Ayabaca, 400, Jirón Montero, Pampa del Lobo, Barrio Sur, Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",clinic,3.685130083157118e-05,"['-4.6364179', '-4.6355981', '-79.7142744', '-79.7134580']"
,OTROS CASERIO TAPAL- AYABACA CASERIO TAPAL- AYABACA AYABACA AYABACA PIURA,,1912,,,AYABACA,,1854,,,,,,PIURA,,1912,PUESTO DE SALUD DE TAPAL,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD DE TAPAL, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO TAPAL- AYABACA CASERIO TAPAL- AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6400714,-79.7152245,NOMINATIM,LOW,FALLBACK,SUCCESS,,PRIMARY,"AYABACA, AYABACA, PIURA, PERU",3,NOMINATIM,2026-05-16T02:59:49.095950,"Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",town,0.31074813956852465,"['-4.6800714', '-4.6000714', '-79.7552245', '-79.6752245']"
,OTROS CASERIO CHIN CHIN - AYABACA CASERIO CHIN CHIN - AYABACA AYABACA AYABACA PIURA,,1913,,,AYABACA,,1855,,,,,,PIURA,,1913,PUESTO DE SALUD DE CHINCHIN,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD DE CHINCHIN, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO CHIN CHIN - AYABACA CASERIO CHIN CHIN - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6400714,-79.7152245,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"AYABACA, AYABACA, PIURA, PERU",2,NOMINATIM,2026-05-16T02:59:54.367850,"Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",town,0.31074813956852465,"['-4.6800714', '-4.6000714', '-79.7552245', '-79.6752245']"
,OTROS CASERIO OLLEROS - AYABACA CASERIO OLLEROS - AYABACA AYABACA AYABACA PIURA,,1914,,,AYABACA,,1856,,,,,,PIURA,,1914,PUESTO DE SALUD OLLEROS,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD OLLEROS, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO OLLEROS - AYABACA CASERIO OLLEROS - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6400714,-79.7152245,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"AYABACA, AYABACA, PIURA, PERU",2,NOMINATIM,2026-05-16T02:59:59.349644,"Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",town,0.31074813956852465,"['-4.6800714', '-4.6000714', '-79.7552245', '-79.6752245']"
,OTROS CASERIO ARAGOTO- AYABACA CASERIO ARAGOTO- AYABACA AYABACA AYABACA PIURA,,1915,,,AYABACA,,1857,,,,,,PIURA,,1915,PUESTO DE SALUD ARAGOTO,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD ARAGOTO, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO ARAGOTO- AYABACA CASERIO ARAGOTO- AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6400714,-79.7152245,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"AYABACA, AYABACA, PIURA, PERU",2,NOMINATIM,2026-05-16T03:00:06.053099,"Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",town,0.31074813956852465,"['-4.6800714', '-4.6000714', '-79.7552245', '-79.6752245']"
,OTROS CASERIO CHOCAN - AYABACA CASERIO CHOCAN - AYABACA AYABACA AYABACA PIURA,,1916,,,AYABACA,,1858,,,,,,PIURA,,1916,PUESTO DE SALUD CHOCAN,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD CHOCAN, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO CHOCAN - AYABACA CASERIO CHOCAN - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.5649483,-79.6841993,NOMINATIM,MEDIUM,PRIMARY,SUCCESS,,PRIMARY,"PUESTO DE SALUD CHOCAN, AYABACA, AYABACA, PIURA, PERU",1,NOMINATIM,2026-05-16T03:00:09.894840,"Puesto de Salud Joras, PI-655, Sochabamba, Huiriquingue, Distrito de Ayabaca, Ayabaca, Piura, Perú",doctors,3.750133516437045e-05,"['-4.5649983', '-4.5648983', '-79.6842493', '-79.6841493']"
,OTROS CCOMUNIDAD TACALPO SECTOR YANCHALA - AYABACA CCOMUNIDAD TACALPO SECTOR YANCHALA - AYABACA AYABACA AYABACA PIURA,,1917,,,AYABACA,,1859,,,,,,PIURA,,1917,PUESTO DE SALUD YANCHALA,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD YANCHALA, AYABACA, AYABACA, PIURA, PERU","OTROS CCOMUNIDAD TACALPO SECTOR YANCHALA - AYABACA CCOMUNIDAD TACALPO SECTOR YANCHALA - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6400714,-79.7152245,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"AYABACA, AYABACA, PIURA, PERU",2,NOMINATIM,2026-05-16T03:00:17.424968,"Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",town,0.31074813956852465,"['-4.6800714', '-4.6000714', '-79.7552245', '-79.6752245']"
,OTROS CASERIO ARREYPITE PINGOLA - AYABACA CASERIO ARREYPITE PINGOLA - AYABACA AYABACA AYABACA PIURA,,1918,,,AYABACA,,1860,,,,,,PIURA,,1918,PUESTO DE SALUD ARREYPITE - PINGOLA,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD ARREYPITE - PINGOLA, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO ARREYPITE PINGOLA - AYABACA CASERIO ARREYPITE PINGOLA - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6400714,-79.7152245,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"AYABACA, AYABACA, PIURA, PERU",2,NOMINATIM,2026-05-16T03:00:23.907424,"Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",town,0.31074813956852465,"['-4.6800714', '-4.6000714', '-79.7552245', '-79.6752245']"
,OTROS CASERIO CALVAS DE SAMANGA - AYABACA CASERIO CALVAS DE SAMANGA - AYABACA AYABACA AYABACA PIURA,,1919,,,AYABACA,,1861,,,,,,PIURA,,1919,PUESTO DE SALUD CALVAS DE SAMANGA,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD CALVAS DE SAMANGA, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO CALVAS DE SAMANGA - AYABACA CASERIO CALVAS DE SAMANGA - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6400714,-79.7152245,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"AYABACA, AYABACA, PIURA, PERU",2,NOMINATIM,2026-05-16T03:00:30.622520,"Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",town,0.31074813956852465,"['-4.6800714', '-4.6000714', '-79.7552245', '-79.6752245']"
,OTROS CASERIO DE ESPINDOLA COMUNIDAD DE SAMANGA CASERIO DE ESPINDOLA COMUNIDAD DE SAMANGA AYABACA AYABACA PIURA,,1920,,,AYABACA,,1862,,,,,,PIURA,,1920,PUESTO DE SALUD ESPINDOLA,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD ESPINDOLA, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO DE ESPINDOLA COMUNIDAD DE SAMANGA CASERIO DE ESPINDOLA COMUNIDAD DE SAMANGA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6480910,-79.4791847,NOMINATIM,MEDIUM,PRIMARY,SUCCESS,,PRIMARY,"PUESTO DE SALUD ESPINDOLA, AYABACA, AYABACA, PIURA, PERU",1,NOMINATIM,2026-05-16T03:00:35.152528,"Puesto de Salud Espíndola, PI-110, Santa Julia, Espíndola, Distrito de Ayabaca, Ayabaca, Piura, Perú",clinic,3.750133516437045e-05,"['-4.6481410', '-4.6480410', '-79.4792347', '-79.4791347']"
