responsable,direccion,unidadejec,codigounico,idunidadejec,disa,provincia,horaatencion,id,categoria,telefeno,idred,situacion,clasificacion,departamento,inicioactividad,codigounico2,nombrerazonsocial,idautosanit,distrito,ubigeo,tipodocumentocategoria,estado,institucion,red,condicion,fecha_inspecion,tipo,numerocategoria,microred,inspecion,idmicrored,query_primary,query_secondary,query_fallback,latitude,longitude,geocode_source,geocode_confidence,geocode_level,geocode_status,geocode_notes,geocode_priority
,JIRÓN JR. MONTERO 400 AYABACA JR. MONTERO 400 AYABACA AYABACA AYABACA PIURA,,1911,,,AYABACA,,1853,,,,,,PIURA,,1911,CENTRO DE SALUD AYABACA,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"CENTRO DE SALUD AYABACA, AYABACA, AYABACA, PIURA, PERU","JIRÓN JR. MONTERO 400 AYABACA JR. MONTERO 400 AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,OTROS CASERIO TAPAL- AYABACA CASERIO TAPAL- AYABACA AYABACA AYABACA PIURA,,1912,,,AYABACA,,1854,,,,,,PIURA,,1912,PUESTO DE SALUD DE TAPAL,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD DE TAPAL, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO TAPAL- AYABACA CASERIO TAPAL- AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,OTROS CASERIO CHIN CHIN - AYABACA CASERIO CHIN CHIN - AYABACA AYABACA AYABACA PIURA,,1913,,,AYABACA,,1855,,,,,,PIURA,,1913,PUESTO DE SALUD DE CHINCHIN,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD DE CHINCHIN, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO CHIN CHIN - AYABACA CASERIO CHIN CHIN - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,OTROS CASERIO OLLEROS - AYABACA CASERIO OLLEROS - AYABACA AYABACA AYABACA PIURA,,1914,,,AYABACA,,1856,,,,,,PIURA,,1914,PUESTO DE SALUD OLLEROS,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD OLLEROS, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO OLLEROS - AYABACA CASERIO OLLEROS - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,OTROS CASERIO ARAGOTO- AYABACA CASERIO ARAGOTO- AYABACA AYABACA AYABACA PIURA,,1915,,,AYABACA,,1857,,,,,,PIURA,,1915,PUESTO DE SALUD ARAGOTO,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD ARAGOTO, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO ARAGOTO- AYABACA CASERIO ARAGOTO- AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,OTROS CASERIO CHOCAN - AYABACA CASERIO CHOCAN - AYABACA AYABACA AYABACA PIURA,,1916,,,AYABACA,,1858,,,,,,PIURA,,1916,PUESTO DE SALUD CHOCAN,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD CHOCAN, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO CHOCAN - AYABACA CASERIO CHOCAN - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,OTROS CCOMUNIDAD TACALPO SECTOR YANCHALA - AYABACA CCOMUNIDAD TACALPO SECTOR YANCHALA - AYABACA AYABACA AYABACA PIURA,,1917,,,AYABACA,,1859,,,,,,PIURA,,1917,PUESTO DE SALUD YANCHALA,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD YANCHALA, AYABACA, AYABACA, PIURA, PERU","OTROS CCOMUNIDAD TACALPO SECTOR YANCHALA - AYABACA CCOMUNIDAD TACALPO SECTOR YANCHALA - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,OTROS CASERIO ARREYPITE PINGOLA - AYABACA CASERIO ARREYPITE PINGOLA - AYABACA AYABACA AYABACA PIURA,,1918,,,AYABACA,,1860,,,,,,PIURA,,1918,PUESTO DE SALUD ARREYPITE - PINGOLA,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD ARREYPITE - PINGOLA, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO ARREYPITE PINGOLA - AYABACA CASERIO ARREYPITE PINGOLA - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,OTROS CASERIO CALVAS DE SAMANGA - AYABACA CASERIO CALVAS DE SAMANGA - AYABACA AYABACA AYABACA PIURA,,1919,,,AYABACA,,1861,,,,,,PIURA,,1919,PUESTO DE SALUD CALVAS DE SAMANGA,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD CALVAS DE SAMANGA, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO CALVAS DE SAMANGA - AYABACA CASERIO CALVAS DE SAMANGA - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,OTROS CASERIO DE ESPINDOLA COMUNIDAD DE SAMANGA CASERIO DE ESPINDOLA COMUNIDAD DE SAMANGA AYABACA AYABACA PIURA,,1920,,,AYABACA,,1862,,,,,,PIURA,,1920,PUESTO DE SALUD ESPINDOLA,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD ESPINDOLA, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO DE ESPINDOLA COMUNIDAD DE SAMANGA CASERIO DE ESPINDOLA COMUNIDAD DE SAMANGA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",,,,,,PENDING,,PRIMARY
