responsable,direccion,unidadejec,codigounico,idunidadejec,disa,provincia,horaatencion,id,categoria,telefeno,idred,situacion,clasificacion,departamento,inicioactividad,codigounico2,nombrerazonsocial,idautosanit,distrito,ubigeo,tipodocumentocategoria,estado,institucion,red,condicion,fecha_inspecion,tipo,numerocategoria,microred,inspecion,idmicrored,query_primary,query_secondary,query_fallback,latitude,longitude,geocode_source,geocode_confidence,geocode_level,geocode_status,geocode_notes,geocode_priority,geocode_query_used,geocode_attempts,geocode_provider,geocode_timestamp,geocode_display_name,geocode_type,geocode_importance,geocode_bbox,lat_round,lon_round
,JIRÓN JR. MONTERO 400 AYABACA JR. MONTERO 400 AYABACA AYABACA AYABACA PIURA,,1911,,,AYABACA,,1853,,,,,,PIURA,,1911,CENTRO DE SALUD AYABACA,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"CENTRO DE SALUD AYABACA, AYABACA, AYABACA, PIURA, PERU","JIRÓN JR. MONTERO 400 AYABACA JR. MONTERO 400 AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6359601,-79.7138753,NOMINATIM,MEDIUM,PRIMARY,SUCCESS,,PRIMARY,"CENTRO DE SALUD AYABACA, AYABACA, AYABACA, PIURA, PERU",1,NOMINATIM,2026-05-16T02:59:36.812690,"Establecimiento de Salud Ayabaca, 400, Jirón Montero, Pampa del Lobo, Barrio Sur, Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",clinic,3.685130083157118e-05,"['-4.6364179', '-4.6355981', '-79.7142744', '-79.7134580']",-4.63596,-79.71388
,OTROS CASERIO CHOCAN - AYABACA CASERIO CHOCAN - AYABACA AYABACA AYABACA PIURA,,1916,,,AYABACA,,1858,,,,,,PIURA,,1916,PUESTO DE SALUD CHOCAN,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD CHOCAN, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO CHOCAN - AYABACA CASERIO CHOCAN - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.5649483,-79.6841993,NOMINATIM,MEDIUM,PRIMARY,SUCCESS,,PRIMARY,"PUESTO DE SALUD CHOCAN, AYABACA, AYABACA, PIURA, PERU",1,NOMINATIM,2026-05-16T03:00:09.894840,"Puesto de Salud Joras, PI-655, Sochabamba, Huiriquingue, Distrito de Ayabaca, Ayabaca, Piura, Perú",doctors,3.750133516437045e-05,"['-4.5649983', '-4.5648983', '-79.6842493', '-79.6841493']",-4.56495,-79.6842
,OTROS CASERIO DE ESPINDOLA COMUNIDAD DE SAMANGA CASERIO DE ESPINDOLA COMUNIDAD DE SAMANGA AYABACA AYABACA PIURA,,1920,,,AYABACA,,1862,,,,,,PIURA,,1920,PUESTO DE SALUD ESPINDOLA,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD ESPINDOLA, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO DE ESPINDOLA COMUNIDAD DE SAMANGA CASERIO DE ESPINDOLA COMUNIDAD DE SAMANGA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.648091,-79.4791847,NOMINATIM,MEDIUM,PRIMARY,SUCCESS,,PRIMARY,"PUESTO DE SALUD ESPINDOLA, AYABACA, AYABACA, PIURA, PERU",1,NOMINATIM,2026-05-16T03:00:35.152528,"Puesto de Salud Espíndola, PI-110, Santa Julia, Espíndola, Distrito de Ayabaca, Ayabaca, Piura, Perú",clinic,3.750133516437045e-05,"['-4.6481410', '-4.6480410', '-79.4792347', '-79.4791347']",-4.64809,-79.47918
,OTROS CASERIO REMOLINOS- AYABACA CASERIO REMOLINOS- AYABACA AYABACA AYABACA PIURA,,1921,,,AYABACA,,1863,,,,,,PIURA,,1921,PUESTO DE SALUD REMOLINOS,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD REMOLINOS, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO REMOLINOS- AYABACA CASERIO REMOLINOS- AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.4917343,-79.5851453,NOMINATIM,MEDIUM,PRIMARY,SUCCESS,,PRIMARY,"PUESTO DE SALUD REMOLINOS, AYABACA, AYABACA, PIURA, PERU",1,NOMINATIM,2026-05-16T03:00:38.187630,"Puesto de Salud Remolinos, PI-668, Remolinos, Distrito de Ayabaca, Ayabaca, Piura, Perú",yes,3.500190737769158e-05,"['-4.4918388', '-4.4916330', '-79.5852338', '-79.5850551']",-4.49173,-79.58515
,OTROS CASERIO HUIRIQUINGUE- AYABACA CASERIO HUIRIQUINGUE- AYABACA AYABACA AYABACA PIURA,,1923,,,AYABACA,,1865,,,,,,PIURA,,1923,PUESTO DE SALUD HUIRIQUINGUE,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD HUIRIQUINGUE, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO HUIRIQUINGUE- AYABACA CASERIO HUIRIQUINGUE- AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.5649483,-79.6841993,NOMINATIM,MEDIUM,PRIMARY,SUCCESS,,PRIMARY,"PUESTO DE SALUD HUIRIQUINGUE, AYABACA, AYABACA, PIURA, PERU",1,NOMINATIM,2026-05-16T03:00:46.970207,"Puesto de Salud Joras, PI-655, Sochabamba, Huiriquingue, Distrito de Ayabaca, Ayabaca, Piura, Perú",doctors,3.750133516437045e-05,"['-4.5649983', '-4.5648983', '-79.6842493', '-79.6841493']",-4.56495,-79.6842
,OTROS CASERIO EL TOLDO CASERIO EL TOLDO AYABACA AYABACA PIURA,,1926,,,AYABACA,,1868,,,,,,PIURA,,1926,PUESTO DE SALUD EL TOLDO,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD EL TOLDO, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO EL TOLDO CASERIO EL TOLDO AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6151437,-79.4995409,NOMINATIM,MEDIUM,PRIMARY,SUCCESS,,PRIMARY,"PUESTO DE SALUD EL TOLDO, AYABACA, AYABACA, PIURA, PERU",1,NOMINATIM,2026-05-16T03:01:01.752403,"Puesto de Salud Huilco, PI-677, Union Alta, El Toldo, Distrito de Ayabaca, Ayabaca, Piura, Perú",doctors,3.750133516437045e-05,"['-4.6151937', '-4.6150937', '-79.4995909', '-79.4994909']",-4.61514,-79.49954
,JIRÓN JR. CUZCO S/N BARRIO JUAN VELASCO A. S/N JR. CUZCO S/N BARRIO JUAN VELASCO A. LAS LOMAS PIURA PIURA,,1932,,,PIURA,,1874,,,,,,PIURA,,1932,CENTRO DE SALUD LAS LOMAS,,LAS LOMAS,200111,,ACTIVO,,,ACTIVO,,,,,,,"CENTRO DE SALUD LAS LOMAS, LAS LOMAS, PIURA, PIURA, PERU","JIRÓN JR. CUZCO S/N BARRIO JUAN VELASCO A. S/N JR. CUZCO S/N BARRIO JUAN VELASCO A. LAS LOMAS PIURA PIURA, LAS LOMAS, PIURA, PIURA, PERU","LAS LOMAS, PIURA, PIURA, PERU",-4.660114,-80.2439085,NOMINATIM,MEDIUM,PRIMARY,SUCCESS,,PRIMARY,"CENTRO DE SALUD LAS LOMAS, LAS LOMAS, PIURA, PIURA, PERU",1,NOMINATIM,2026-05-16T03:01:32.235784,"Establecimiento de Salud I-3 Las Lomas, Jirón Francisco Burneo, Juan Velasco Alvarado, Bellavista, Las Lomas, Piura, Perú",clinic,3.897077897302232e-05,"['-4.6603459', '-4.6598929', '-80.2441468', '-80.2436785']",-4.66011,-80.24391
,OTROS CASERIO CHIPILLICO CASERIO CHIPILLICO LAS LOMAS PIURA PIURA,,1934,,,PIURA,,1876,,,,,,PIURA,,1934,PUESTO DE SALUD CHIPILLICO,,LAS LOMAS,200111,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD CHIPILLICO, LAS LOMAS, PIURA, PIURA, PERU","OTROS CASERIO CHIPILLICO CASERIO CHIPILLICO LAS LOMAS PIURA PIURA, LAS LOMAS, PIURA, PIURA, PERU","LAS LOMAS, PIURA, PIURA, PERU",-4.7197242,-80.131394,NOMINATIM,MEDIUM,PRIMARY,SUCCESS,,PRIMARY,"PUESTO DE SALUD CHIPILLICO, LAS LOMAS, PIURA, PIURA, PERU",1,NOMINATIM,2026-05-16T03:01:43.605767,"Puesto de Salud Chipillico, Calle María Parado de Bellido, Chipillico, Las Lomas, Piura, Perú",doctors,3.897077897302232e-05,"['-4.7197742', '-4.7196742', '-80.1314440', '-80.1313440']",-4.71972,-80.13139
,OTROS CASERIO PAMPA ELERA BAJA CASERIO PAMPA ELERA BAJA LAS LOMAS PIURA PIURA,,1936,,,PIURA,,1878,,,,,,PIURA,,1936,PUESTO DE SALUD PAMPA ELERA BAJA,,LAS LOMAS,200111,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD PAMPA ELERA BAJA, LAS LOMAS, PIURA, PIURA, PERU","OTROS CASERIO PAMPA ELERA BAJA CASERIO PAMPA ELERA BAJA LAS LOMAS PIURA PIURA, LAS LOMAS, PIURA, PIURA, PERU","LAS LOMAS, PIURA, PIURA, PERU",-4.6975701,-80.1474193,NOMINATIM,MEDIUM,PRIMARY,SUCCESS,,PRIMARY,"PUESTO DE SALUD PAMPA ELERA BAJA, LAS LOMAS, PIURA, PIURA, PERU",1,NOMINATIM,2026-05-16T03:01:51.608008,"Puesto de Salud Pampa Elera Baja, PI-533, Represa San Lorenzo, La Menta Centro, Pampa Elera Alta, Las Lomas, Piura, Perú",doctors,3.897077897302232e-05,"['-4.6976201', '-4.6975201', '-80.1474693', '-80.1473693']",-4.69757,-80.14742
,OTROS CASERIO SAN FRANCISCO DE PAMPA ELERA CASERIO SAN FRANCISCO DE PAMPA ELERA LAS LOMAS PIURA PIURA,,1939,,,PIURA,,1881,,,,,,PIURA,,1939,PUESTO DE SALUD SAN FRANCISCO DE PAMPA ELERA,,LAS LOMAS,200111,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD SAN FRANCISCO DE PAMPA ELERA, LAS LOMAS, PIURA, PIURA, PERU","OTROS CASERIO SAN FRANCISCO DE PAMPA ELERA CASERIO SAN FRANCISCO DE PAMPA ELERA LAS LOMAS PIURA PIURA, LAS LOMAS, PIURA, PIURA, PERU","LAS LOMAS, PIURA, PIURA, PERU",-4.6879089,-80.0697998,NOMINATIM,MEDIUM,PRIMARY,SUCCESS,,PRIMARY,"PUESTO DE SALUD SAN FRANCISCO DE PAMPA ELERA, LAS LOMAS, PIURA, PIURA, PERU",1,NOMINATIM,2026-05-16T03:02:04.342349,"Puesto de Salud - San Francisco de Pampa Elera, PI-533, Jahuay, La Higueria, La Menta, Las Lomas, Piura, Perú",doctors,3.897077897302232e-05,"['-4.6879589', '-4.6878589', '-80.0698498', '-80.0697498']",-4.68791,-80.0698
