node_id,ipress_code,name,latitude,longitude,categoria,red,microred,nivel_atencion,district,province,geocode_confidence,demand_mean,demand_std,demand_cv,cold_chain_demand,service_time,tw_start,tw_end,sanitary_priority
1911,1911,CENTRO DE SALUD AYABACA,-4.6359601,-79.7138753,CENTRO DE SALUD,,,I-3,AYABACA,AYABACA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
1916,1916,PUESTO DE SALUD CHOCAN,-4.5649483,-79.6841993,PUESTO DE SALUD,,,I-1,AYABACA,AYABACA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
1920,1920,PUESTO DE SALUD ESPINDOLA,-4.648091,-79.4791847,PUESTO DE SALUD,,,I-1,AYABACA,AYABACA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
1921,1921,PUESTO DE SALUD REMOLINOS,-4.4917343,-79.5851453,PUESTO DE SALUD,,,I-1,AYABACA,AYABACA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
1923,1923,PUESTO DE SALUD HUIRIQUINGUE,-4.5649483,-79.6841993,PUESTO DE SALUD,,,I-1,AYABACA,AYABACA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
1926,1926,PUESTO DE SALUD EL TOLDO,-4.6151437,-79.4995409,PUESTO DE SALUD,,,I-1,AYABACA,AYABACA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
1932,1932,CENTRO DE SALUD LAS LOMAS,-4.660114,-80.2439085,CENTRO DE SALUD,,,I-3,LAS LOMAS,PIURA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
1934,1934,PUESTO DE SALUD CHIPILLICO,-4.7197242,-80.131394,PUESTO DE SALUD,,,I-1,LAS LOMAS,PIURA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
1936,1936,PUESTO DE SALUD PAMPA ELERA BAJA,-4.6975701,-80.1474193,PUESTO DE SALUD,,,I-1,LAS LOMAS,PIURA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
1939,1939,PUESTO DE SALUD SAN FRANCISCO DE PAMPA ELERA,-4.6879089,-80.0697998,PUESTO DE SALUD,,,I-1,LAS LOMAS,PIURA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
1942,1942,PUESTO DE SALUD GARABATOS,-4.7089581,-80.0824258,PUESTO DE SALUD,,,I-1,LAS LOMAS,PIURA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
1943,1943,CENTRO DE SALUD EL PARTIDOR,-4.7309471,-80.2796964,CENTRO DE SALUD,,,I-3,LAS LOMAS,PIURA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
1944,1944,PUESTO SALUD LA MENTA,-4.7190508,-80.0971652,PUESTO DE SALUD,,,I-1,LAS LOMAS,PIURA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
1945,1945,CENTRO DE SALUD SUYO,-4.5144784,-80.0023272,CENTRO DE SALUD,,,I-3,SUYO,AYABACA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
1953,1953,PUESTO DE SALUD SANTA ANA DE QUIROZ,-4.5459096,-80.0738269,PUESTO DE SALUD,,,I-1,SUYO,AYABACA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
1955,1955,CENTRO DE SALUD SAPILLICA,-4.7755217,-79.9819419,CENTRO DE SALUD,,,I-3,SAPILLICA,AYABACA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
1959,1959,CENTRO DE SALUD PAIMAS,-4.6248621,-79.9474502,CENTRO DE SALUD,,,I-3,PAIMAS,AYABACA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
1962,1962,CENTRO DE SALUD JILILI,-4.5839372,-79.7979262,CENTRO DE SALUD,,,I-3,JILILI,AYABACA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
1965,1965,CENTRO DE SALUD LAGUNAS,-4.7893312,-79.8447552,CENTRO DE SALUD,,,I-3,LAGUNAS,AYABACA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
1970,1970,CENTRO DE SALUD MONTERO,-4.6297071,-79.8247958,CENTRO DE SALUD,,,I-3,MONTERO,AYABACA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
1974,1974,CENTRO DE SALUD SICCHEZ,-4.5689777,-79.763774,CENTRO DE SALUD,,,I-3,SICCHEZ,AYABACA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
1977,1977,CENTRO DE SALUD TAMBOGRANDE,-4.9348207,-80.3415011,CENTRO DE SALUD,,,I-3,TAMBO GRANDE,PIURA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
1978,1978,CENTRO DE SALUD SAN ISIDRO,-4.7939134,-80.2736569,CENTRO DE SALUD,,,I-3,TAMBO GRANDE,PIURA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
1986,1986,PUESTO DE SALUD CHICA ALTA,-4.8903579,-80.4146409,PUESTO DE SALUD,,,I-1,TAMBO GRANDE,PIURA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
1987,1987,PUESTO DE SALUD SINCHI ROCA,-4.8903579,-80.4146409,PUESTO DE SALUD,,,I-1,TAMBO GRANDE,PIURA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
1988,1988,PUESTO DE SALUD LAS MONICAS,-4.9297532,-80.2832763,PUESTO DE SALUD,,,I-1,TAMBO GRANDE,PIURA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
1996,1996,CP3 - SAN MARTIN,-4.8426429,-80.342111,OTRO,,,I-2,TAMBO GRANDE,PIURA,MEDIUM,300.0,75.0,0.25,0,15,08:00,16:00,1
2001,2001,CENTRO DE SALUD BELLAVISTA,-4.8844701,-80.6714142,CENTRO DE SALUD,,,I-3,BELLAVISTA,SULLANA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
2011,2011,CENTRO DE SALUD SANTA TERESITA,-4.9004509,-80.6777636,CENTRO DE SALUD,,,I-3,SULLANA,SULLANA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
2012,2012,"CENTRO DE SALUD ""VILLA PRIMAVERA""",-4.904803,-80.7106523,CENTRO DE SALUD,,,I-3,SULLANA,SULLANA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
2016,2016,CANAL MOCHO-CIENEGUILLO SUR,-4.9988145,-80.6868365,OTRO,,,I-2,SULLANA,SULLANA,MEDIUM,300.0,75.0,0.25,0,15,08:00,16:00,1
2017,2017,CENTRO DE SALUD NUEVO SULLANA,-4.9088237,-80.7227337,CENTRO DE SALUD,,,I-3,SULLANA,SULLANA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
2018,2018,CENTRO DE SALUD COMUNIDAD SALUDABLE,-4.9081922,-80.6946604,CENTRO DE SALUD,,,I-3,SULLANA,SULLANA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
2019,2019,CENTRO DE SALUD MIGUEL CHECA,-4.9011588,-80.815167,CENTRO DE SALUD,,,I-3,MIGUEL CHECA,SULLANA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
2020,2020,PUESTO DE SALUD JIBITO,-4.9051923,-80.7473456,PUESTO DE SALUD,,,I-1,MIGUEL CHECA,SULLANA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
2022,2022,PUESTO DE SALUD LA ISLILLA,-5.2063497,-81.1923801,PUESTO DE SALUD,,,I-1,PAITA,PAITA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
2023,2023,PUESTO DE SALUD YACILA,-5.1327293,-81.1707792,PUESTO DE SALUD,,,I-1,PAITA,PAITA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
2024,2024,PUESTO DE SALUD SAN LUCAS DE COLAN,-5.0053016,-81.0583954,PUESTO DE SALUD,,,I-1,COLAN,PAITA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
2025,2025,CENTRO DE SALUD EL ARENAL,-4.8849849,-81.0262273,CENTRO DE SALUD,,,I-3,ARENAL,PAITA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
2026,2026,"CENTRO DE SALUD ""PUEBLO NUEVO DE COLAN""",-4.9115827,-81.057902,CENTRO DE SALUD,,,I-3,COLAN,PAITA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
2027,2027,CENTRO DE SALUD LA HUACA,-4.9121604,-80.9602239,CENTRO DE SALUD,,,I-3,LA HUACA,PAITA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
2028,2028,CENTRO DE SALUD VIVIATE,-4.9200244,-80.9215755,CENTRO DE SALUD,,,I-3,LA HUACA,PAITA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
2029,2029,PUESTO DE SALUD NOMARA,-4.9147723,-80.8867335,PUESTO DE SALUD,,,I-1,LA HUACA,PAITA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
2030,2030,MACACARA,-4.9197309,-80.8586589,OTRO,,,I-2,LA HUACA,PAITA,MEDIUM,300.0,75.0,0.25,0,15,08:00,16:00,1
2032,2032,CENTRO DE SALUD MARCAVELICA,-4.8824518,-80.7061949,CENTRO DE SALUD,,,I-3,MARCAVELICA,SULLANA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
2033,2033,PUESTO DE SALUD MALLARITOS,-4.8694928,-80.718029,PUESTO DE SALUD,,,I-1,MARCAVELICA,SULLANA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
2035,2035,PUESTO DE SALUD MALLARES,-4.8325148,-80.7621019,PUESTO DE SALUD,,,I-1,MARCAVELICA,SULLANA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
2037,2037,PUESTO DE SALUD TANGARARA,-4.8849926,-80.8254037,PUESTO DE SALUD,,,I-1,MARCAVELICA,SULLANA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
2038,2038,PUESTO DE SALUD SAMAN,-4.8325148,-80.7621019,PUESTO DE SALUD,,,I-1,MARCAVELICA,SULLANA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
2040,2040,PUESTO DE SALUD LA NORIA,-4.7923546,-80.7449379,PUESTO DE SALUD,,,I-1,MARCAVELICA,SULLANA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
2042,2042,CENTRO DE SALUD IGNACIO ESCUDERO,-4.8471958,-80.8742315,CENTRO DE SALUD,,,I-3,IGNACIO ESCUDERO,SULLANA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
2043,2043,PUESTO DE SALUD SAN JUAN DE LA VIRGEN,-4.8439257,-80.8382833,PUESTO DE SALUD,,,I-1,IGNACIO ESCUDERO,SULLANA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
2044,2044,PUESTO DE SALUD MONTE LIMA,-4.8608725,-80.9399291,PUESTO DE SALUD,,,I-1,IGNACIO ESCUDERO,SULLANA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
2045,2045,PUESTO DE SALUD SANTA SOFIA,-4.8849926,-80.8254037,PUESTO DE SALUD,,,I-1,IGNACIO ESCUDERO,SULLANA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
2046,2046,PUESTO DE SALUD SAN MIGUEL,-4.8498601,-80.8925112,PUESTO DE SALUD,,,I-1,IGNACIO ESCUDERO,SULLANA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
2047,2047,PUESTO DE SALUD AMOTAPE,-4.8868634,-81.0031178,PUESTO DE SALUD,,,I-1,AMOTAPE,PAITA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
2048,2048,PUESTO DE SALUD EL TAMBO,-4.8868634,-81.0031178,PUESTO DE SALUD,,,I-1,AMOTAPE,PAITA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
2049,2049,CENTRO DE SALUD TAMARINDO,-4.8784025,-80.971709,CENTRO DE SALUD,,,I-3,TAMARINDO,PAITA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
2050,2050,CENTRO DE SALUD QUERECOTILLO,-4.8378896,-80.6471156,CENTRO DE SALUD,,,I-3,QUERECOTILLO,SULLANA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
2052,2052,PUESTO DE SALUD SAN FRANCISCO DE CHOCAN,-4.7852623,-80.6101357,PUESTO DE SALUD,,,I-1,QUERECOTILLO,SULLANA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
2056,2056,PUESTO DE SALUD PUENTE DE LOS SERRANOS,-4.7852623,-80.6101357,PUESTO DE SALUD,,,I-1,QUERECOTILLO,SULLANA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
