responsable,direccion,unidadejec,codigounico,idunidadejec,disa,provincia,horaAtencion,id,categoria,telefeno,idred,situacion,clasificacion,departamento,inicioActividad,codigounico2,nombrerazonsocial,idautosanit,distrito,ubigeo,tipoDocumentoCategoria,estado,institucion,red,condicion,fecha_inspecion,tipo,numeroCategoria,microred,inspecion,idmicrored
,JIRÓN JR. MONTERO 400 AYABACA JR. MONTERO 400 AYABACA AYABACA AYABACA PIURA ,,00001911,,,AYABACA,,1853,,,,,,PIURA,,00001911,CENTRO DE SALUD AYABACA,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,
,OTROS CASERIO TAPAL- AYABACA CASERIO TAPAL- AYABACA AYABACA AYABACA PIURA ,,00001912,,,AYABACA,,1854,,,,,,PIURA,,00001912,PUESTO DE SALUD DE TAPAL,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,
,OTROS CASERIO CHIN CHIN - AYABACA CASERIO CHIN CHIN - AYABACA AYABACA AYABACA PIURA ,,00001913,,,AYABACA,,1855,,,,,,PIURA,,00001913,PUESTO DE SALUD DE CHINCHIN,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,
,OTROS CASERIO OLLEROS - AYABACA CASERIO OLLEROS - AYABACA AYABACA AYABACA PIURA ,,00001914,,,AYABACA,,1856,,,,,,PIURA,,00001914,PUESTO DE SALUD OLLEROS,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,
,OTROS CASERIO ARAGOTO- AYABACA CASERIO ARAGOTO- AYABACA AYABACA AYABACA PIURA ,,00001915,,,AYABACA,,1857,,,,,,PIURA,,00001915,PUESTO DE SALUD ARAGOTO,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,
,OTROS CASERIO CHOCAN - AYABACA CASERIO CHOCAN - AYABACA AYABACA AYABACA PIURA ,,00001916,,,AYABACA,,1858,,,,,,PIURA,,00001916,PUESTO DE SALUD CHOCAN,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,
,OTROS CCOMUNIDAD TACALPO SECTOR YANCHALA - AYABACA CCOMUNIDAD TACALPO SECTOR YANCHALA - AYABACA AYABACA AYABACA PIURA ,,00001917,,,AYABACA,,1859,,,,,,PIURA,,00001917,PUESTO DE SALUD YANCHALA,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,
,OTROS CASERIO ARREYPITE PINGOLA - AYABACA CASERIO ARREYPITE PINGOLA - AYABACA AYABACA AYABACA PIURA ,,00001918,,,AYABACA,,1860,,,,,,PIURA,,00001918,PUESTO DE SALUD ARREYPITE - PINGOLA,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,
,OTROS CASERIO CALVAS DE SAMANGA - AYABACA CASERIO CALVAS DE SAMANGA - AYABACA AYABACA AYABACA PIURA ,,00001919,,,AYABACA,,1861,,,,,,PIURA,,00001919,PUESTO DE SALUD CALVAS DE SAMANGA,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,
,OTROS CASERIO DE ESPINDOLA COMUNIDAD DE SAMANGA CASERIO DE ESPINDOLA COMUNIDAD DE SAMANGA AYABACA AYABACA PIURA ,,00001920,,,AYABACA,,1862,,,,,,PIURA,,00001920,PUESTO DE SALUD ESPINDOLA,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,
,OTROS CASERIO REMOLINOS- AYABACA CASERIO REMOLINOS- AYABACA AYABACA AYABACA PIURA ,,00001921,,,AYABACA,,1863,,,,,,PIURA,,00001921,PUESTO DE SALUD REMOLINOS,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,
,OTROS CASERIO ANDURCO CASERIO ANDURCO AYABACA AYABACA PIURA ,,00001922,,,AYABACA,,1864,,,,,,PIURA,,00001922,PUESTO DE SALUD ANDURCO,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,
,OTROS CASERIO HUIRIQUINGUE- AYABACA CASERIO HUIRIQUINGUE- AYABACA AYABACA AYABACA PIURA ,,00001923,,,AYABACA,,1865,,,,,,PIURA,,00001923,PUESTO DE SALUD HUIRIQUINGUE,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,
,OTROS CASERIO HUACHUMA - AYABACA CASERIO HUACHUMA - AYABACA AYABACA AYABACA PIURA ,,00001924,,,AYABACA,,1866,,,,,,PIURA,,00001924,PUESTO DE SALUD HUACHUMA,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,
,OTROS CASERIO SAUSAL - AYABACA CASERIO SAUSAL - AYABACA AYABACA AYABACA PIURA ,,00001925,,,AYABACA,,1867,,,,,,PIURA,,00001925,PUESTO DE SALUD SAUSAL,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,
,OTROS CASERIO EL TOLDO CASERIO EL TOLDO AYABACA AYABACA PIURA ,,00001926,,,AYABACA,,1868,,,,,,PIURA,,00001926,PUESTO DE SALUD EL TOLDO,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,
