responsable,direccion,unidadejec,codigounico,idunidadejec,disa,provincia,horaatencion,id,categoria,telefeno,idred,situacion,clasificacion,departamento,inicioactividad,codigounico2,nombrerazonsocial,idautosanit,distrito,ubigeo,tipodocumentocategoria,estado,institucion,red,condicion,fecha_inspecion,tipo,numerocategoria,microred,inspecion,idmicrored,query_primary,query_secondary,query_fallback,latitude,longitude,geocode_source,geocode_confidence,geocode_level,geocode_status,geocode_notes,geocode_priority,geocode_query_used,geocode_attempts,geocode_provider,geocode_timestamp,geocode_display_name,geocode_type,geocode_importance,geocode_bbox,lat_round,lon_round
,OTROS CASERIO TAPAL- AYABACA CASERIO TAPAL- AYABACA AYABACA AYABACA PIURA,,1912,,,AYABACA,,1854,,,,,,PIURA,,1912,PUESTO DE SALUD DE TAPAL,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD DE TAPAL, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO TAPAL- AYABACA CASERIO TAPAL- AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6400714,-79.7152245,NOMINATIM,LOW,FALLBACK,SUCCESS,,PRIMARY,"AYABACA, AYABACA, PIURA, PERU",3,NOMINATIM,2026-05-16T02:59:49.095950,"Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",town,0.3107481395685246,"['-4.6800714', '-4.6000714', '-79.7552245', '-79.6752245']",-4.64007,-79.71522
,OTROS CASERIO CHIN CHIN - AYABACA CASERIO CHIN CHIN - AYABACA AYABACA AYABACA PIURA,,1913,,,AYABACA,,1855,,,,,,PIURA,,1913,PUESTO DE SALUD DE CHINCHIN,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD DE CHINCHIN, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO CHIN CHIN - AYABACA CASERIO CHIN CHIN - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6400714,-79.7152245,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"AYABACA, AYABACA, PIURA, PERU",2,NOMINATIM,2026-05-16T02:59:54.367850,"Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",town,0.3107481395685246,"['-4.6800714', '-4.6000714', '-79.7552245', '-79.6752245']",-4.64007,-79.71522
,OTROS CASERIO OLLEROS - AYABACA CASERIO OLLEROS - AYABACA AYABACA AYABACA PIURA,,1914,,,AYABACA,,1856,,,,,,PIURA,,1914,PUESTO DE SALUD OLLEROS,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD OLLEROS, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO OLLEROS - AYABACA CASERIO OLLEROS - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6400714,-79.7152245,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"AYABACA, AYABACA, PIURA, PERU",2,NOMINATIM,2026-05-16T02:59:59.349644,"Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",town,0.3107481395685246,"['-4.6800714', '-4.6000714', '-79.7552245', '-79.6752245']",-4.64007,-79.71522
,OTROS CASERIO ARAGOTO- AYABACA CASERIO ARAGOTO- AYABACA AYABACA AYABACA PIURA,,1915,,,AYABACA,,1857,,,,,,PIURA,,1915,PUESTO DE SALUD ARAGOTO,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD ARAGOTO, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO ARAGOTO- AYABACA CASERIO ARAGOTO- AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6400714,-79.7152245,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"AYABACA, AYABACA, PIURA, PERU",2,NOMINATIM,2026-05-16T03:00:06.053099,"Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",town,0.3107481395685246,"['-4.6800714', '-4.6000714', '-79.7552245', '-79.6752245']",-4.64007,-79.71522
,OTROS CCOMUNIDAD TACALPO SECTOR YANCHALA - AYABACA CCOMUNIDAD TACALPO SECTOR YANCHALA - AYABACA AYABACA AYABACA PIURA,,1917,,,AYABACA,,1859,,,,,,PIURA,,1917,PUESTO DE SALUD YANCHALA,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD YANCHALA, AYABACA, AYABACA, PIURA, PERU","OTROS CCOMUNIDAD TACALPO SECTOR YANCHALA - AYABACA CCOMUNIDAD TACALPO SECTOR YANCHALA - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6400714,-79.7152245,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"AYABACA, AYABACA, PIURA, PERU",2,NOMINATIM,2026-05-16T03:00:17.424968,"Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",town,0.3107481395685246,"['-4.6800714', '-4.6000714', '-79.7552245', '-79.6752245']",-4.64007,-79.71522
,OTROS CASERIO ARREYPITE PINGOLA - AYABACA CASERIO ARREYPITE PINGOLA - AYABACA AYABACA AYABACA PIURA,,1918,,,AYABACA,,1860,,,,,,PIURA,,1918,PUESTO DE SALUD ARREYPITE - PINGOLA,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD ARREYPITE - PINGOLA, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO ARREYPITE PINGOLA - AYABACA CASERIO ARREYPITE PINGOLA - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6400714,-79.7152245,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"AYABACA, AYABACA, PIURA, PERU",2,NOMINATIM,2026-05-16T03:00:23.907424,"Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",town,0.3107481395685246,"['-4.6800714', '-4.6000714', '-79.7552245', '-79.6752245']",-4.64007,-79.71522
,OTROS CASERIO CALVAS DE SAMANGA - AYABACA CASERIO CALVAS DE SAMANGA - AYABACA AYABACA AYABACA PIURA,,1919,,,AYABACA,,1861,,,,,,PIURA,,1919,PUESTO DE SALUD CALVAS DE SAMANGA,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD CALVAS DE SAMANGA, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO CALVAS DE SAMANGA - AYABACA CASERIO CALVAS DE SAMANGA - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6400714,-79.7152245,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"AYABACA, AYABACA, PIURA, PERU",2,NOMINATIM,2026-05-16T03:00:30.622520,"Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",town,0.3107481395685246,"['-4.6800714', '-4.6000714', '-79.7552245', '-79.6752245']",-4.64007,-79.71522
,OTROS CASERIO ANDURCO CASERIO ANDURCO AYABACA AYABACA PIURA,,1922,,,AYABACA,,1864,,,,,,PIURA,,1922,PUESTO DE SALUD ANDURCO,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD ANDURCO, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO ANDURCO CASERIO ANDURCO AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6400714,-79.7152245,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"AYABACA, AYABACA, PIURA, PERU",2,NOMINATIM,2026-05-16T03:00:44.022509,"Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",town,0.3107481395685246,"['-4.6800714', '-4.6000714', '-79.7552245', '-79.6752245']",-4.64007,-79.71522
,OTROS CASERIO HUACHUMA - AYABACA CASERIO HUACHUMA - AYABACA AYABACA AYABACA PIURA,,1924,,,AYABACA,,1866,,,,,,PIURA,,1924,PUESTO DE SALUD HUACHUMA,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD HUACHUMA, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO HUACHUMA - AYABACA CASERIO HUACHUMA - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6400714,-79.7152245,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"AYABACA, AYABACA, PIURA, PERU",2,NOMINATIM,2026-05-16T03:00:53.347302,"Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",town,0.3107481395685246,"['-4.6800714', '-4.6000714', '-79.7552245', '-79.6752245']",-4.64007,-79.71522
,OTROS CASERIO SAUSAL - AYABACA CASERIO SAUSAL - AYABACA AYABACA AYABACA PIURA,,1925,,,AYABACA,,1867,,,,,,PIURA,,1925,PUESTO DE SALUD SAUSAL,,AYABACA,200201,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD SAUSAL, AYABACA, AYABACA, PIURA, PERU","OTROS CASERIO SAUSAL - AYABACA CASERIO SAUSAL - AYABACA AYABACA AYABACA PIURA, AYABACA, AYABACA, PIURA, PERU","AYABACA, AYABACA, PIURA, PERU",-4.6400714,-79.7152245,CACHE,LOW,FALLBACK,SUCCESS,,PRIMARY,"AYABACA, AYABACA, PIURA, PERU",2,NOMINATIM,2026-05-16T03:00:59.124850,"Ayabaca, Distrito de Ayabaca, Ayabaca, Piura, Perú",town,0.3107481395685246,"['-4.6800714', '-4.6000714', '-79.7552245', '-79.6752245']",-4.64007,-79.71522
