entity_name,edm_name,timestamp,property_name
CATALOGO-DISAS,Sandbox.CATALOGO_DISAS,2026-05-16T14:44:24.061897,
CATALOGO-DISAS,,,coddisa
CATALOGO-DISAS,,,DEPARTAMENTO
CATALOGO-DISAS,,,DISA
CATALOGO-DISAS,,,DISA (CODIGO)
CATALOGO-DISAS,,,MACROREGION
CATALOGO-DISAS,,,UBICACIÓN
CATALOGO-DISAS,,,UBICACIÓN_2
CATALOGO-DISAS,,,Z1
CATALOGO-DISAS,,,Z2
CATALOGO-DISAS,,,GORES
CATALOGO-DISAS,,,Pais
CATALOGO-DISAS,,,UBICACIÓN_3
CATALOGO-DISAS,,,UBICACION_4
CATALOGO-DISAS,,,norte
CATALOGO-DISAS,,,este
CATALOGO-DISAS,,,UBICACION_3_B
CATALOGO_IPRESS_AEMS,Sandbox.CATALOGO_IPRESS_AEMS,2026-05-16T14:44:24.061897,
CATALOGO_IPRESS_AEMS,,,codpre_
CATALOGO_IPRESS_AEMS,,,DESCRIP
CATALOGO_IPRESS_AEMS,,,tipo_
CATALOGO_IPRESS_AEMS,,,tipo_completo
CATALOGO_IPRESS_AEMS,,,cdisa
CATALOGO_IPRESS_AEMS,,,Categoria
CATALOGO_IPRESS_AEMS,,,Estado
CATALOGO_IPRESS_AEMS,,,Institución
CATALOGO_IPRESS_AEMS,,,NORTE
CATALOGO_IPRESS_AEMS,,,ESTE
CATALOGO_IPRESS_AEMS,,,Departamento
CATALOGO_IPRESS_AEMS,,,Provincia
CATALOGO_IPRESS_AEMS,,,Distrito
CATALOGO_IPRESS_AEMS,,,Red
CATALOGO_IPRESS_AEMS,,,Codigo_UE
CATALOGO_IPRESS_AEMS,,,nom_ejecutora
CATALOGO_IPRESS_AEMS,,,micro_red
CATALOGO_IPRESS_AEMS,,,tipo_ipress_2
CATALOGO_IPRESS_AEMS,,,Niveles
CATALOGO_IPRESS_AEMS,,,ue_2
CATALOGO_IPRESS_AEMS,,,ue
CATALOGO_IPRESS_AEMS,,,Dirección
CATALOGO_IPRESS_AEMS,,,ubiprov
CATALOGO_IPRESS_AEMS,,,SECTORPLIEGO
CATALOGO_IPRESS_AEMS,,,PLIEGO
CATALOGO_IPRESS_AEMS,,,PLIEGO_NOMBRE
CATALOGO_IPRESS_AEMS,,,SECTOR
CATALOGO_IPRESS_AEMS,,,SECTOR_NOMBRE
CATALOGO_IPRESS_AEMS,,,diresa_1
