entity_name,edm_name,timestamp,property_name
CATALOGO-DISAS,Sandbox.CATALOGO_DISAS,2026-05-16T14:44:24.061897,
CATALOGO-DISAS,,,coddisa
CATALOGO-DISAS,,,DEPARTAMENTO
CATALOGO-DISAS,,,DISA
CATALOGO-DISAS,,,DISA (CODIGO)
CATALOGO-DISAS,,,MACROREGION
CATALOGO-DISAS,,,UBICACIÓN
CATALOGO-DISAS,,,UBICACIÓN_2
CATALOGO-DISAS,,,Z1
CATALOGO-DISAS,,,Z2
CATALOGO-DISAS,,,GORES
CATALOGO-DISAS,,,Pais
CATALOGO-DISAS,,,UBICACIÓN_3
CATALOGO-DISAS,,,UBICACION_4
CATALOGO-DISAS,,,norte
CATALOGO-DISAS,,,este
CATALOGO-DISAS,,,UBICACION_3_B
CATALOGO_IPRESS_AEMS,,,cdisa
CATALOGO_IPRESS_AEMS,,,Departamento
CATALOGO_IPRESS_AEMS,,,Provincia
CATALOGO_IPRESS_AEMS,,,Distrito
CATALOGO_IPRESS_AEMS,,,Red
CATALOGO_IPRESS_AEMS,,,micro_red
