entity_name,edm_name,timestamp
data_historica_dispo12_consumo,Sandbox.data_historica_dispo12_consumo,2026-05-16T14:44:24.060238
CATALOGO-DISAS,Sandbox.CATALOGO_DISAS,2026-05-16T14:44:24.061897
CATALOGO_IPRESS_AEMS,Sandbox.CATALOGO_IPRESS_AEMS,2026-05-16T14:44:24.061897
medicame,Sandbox.medicame,2026-05-16T14:44:24.061897
Tb_listado_atc,Sandbox.Tb_listado_atc,2026-05-16T14:44:24.061897
Switch_1,Sandbox.Switch_1,2026-05-16T14:44:24.061897
Switch_21,Sandbox.Switch_21,2026-05-16T14:44:24.061897
Switch_22,Sandbox.Switch_22,2026-05-16T14:44:24.061897
Switch_3,Sandbox.Switch_3,2026-05-16T14:44:24.061897
Switch_4,Sandbox.Switch_4,2026-05-16T14:44:24.061897
Lista_diario,Sandbox.Lista_diario,2026-05-16T14:44:24.061897
metricas,Sandbox.metricas,2026-05-16T14:44:24.061897
Periodo_variable,Sandbox.Periodo_variable,2026-05-16T14:44:24.061897
