codigo_med,tipo_suministro,medicamento,categoria_eess,periodo,consumo_total,precio_unitario,consumo_venta,consumo_sis,consumo_intersanitario,stock
04370,S,( PARCHE TRANSDERMICO)LEVONORGESTREL  20 µg PARCHE,CENTRO,202111,0,4.9,,,,40
04370,S,( PARCHE TRANSDERMICO)LEVONORGESTREL  20 µg PARCHE,CENTRO,202112,0,0.0,,,,40
04370,S,( PARCHE TRANSDERMICO)LEVONORGESTREL  20 µg PARCHE,CENTRO,202201,0,0.0,,,,40
04370,S,( PARCHE TRANSDERMICO)LEVONORGESTREL  20 µg PARCHE,CENTRO,202202,0,0.0,,,,40
00001,S,2H-1-BENZOPIRAN-2-ONA  15 mg TABLETA,PUESTO,202303,0,0.0,,,,60
00001,S,2H-1-BENZOPIRAN-2-ONA  15 mg TABLETA,PUESTO,202304,0,0.0,,,,60
00001,S,2H-1-BENZOPIRAN-2-ONA  15 mg TABLETA,PUESTO,202305,0,0.5,,,,96
31697,S,2-NITROFENIL B-D GALACTOPIRANOSIDO P.A. 100 g  UNIDAD,PUESTO,202205,79,0.2,,,79,0
31697,S,2-NITROFENIL B-D GALACTOPIRANOSIDO P.A. 100 g  UNIDAD,PUESTO,202206,0,0.2,,,,0
31697,S,2-NITROFENIL B-D GALACTOPIRANOSIDO P.A. 100 g  UNIDAD,PUESTO,202207,0,0.2,,,,0
31697,S,2-NITROFENIL B-D GALACTOPIRANOSIDO P.A. 100 g  UNIDAD,PUESTO,202208,0,0.2,,,,0
00004,S,ABACAVIR (COMO SULFATO)  300 mg TABLETA,CENTRO,202104,620,0.6,,,620,2840
00004,S,ABACAVIR (COMO SULFATO)  300 mg TABLETA,CENTRO,202105,1020,0.5667,,,1020,2000
00004,S,ABACAVIR (COMO SULFATO)  300 mg TABLETA,CENTRO,202106,240,0.5,,,240,1760
00004,S,ABACAVIR (COMO SULFATO)  300 mg TABLETA,CENTRO,202107,540,0.5,,,540,1310
00004,S,ABACAVIR (COMO SULFATO)  300 mg TABLETA,CENTRO,202108,420,0.5,,,420,890
00004,S,ABACAVIR (COMO SULFATO)  300 mg TABLETA,CENTRO,202109,480,0.5,,,480,410
00004,S,ABACAVIR (COMO SULFATO)  300 mg TABLETA,CENTRO,202110,200,0.5,,,200,210
00004,S,ABACAVIR (COMO SULFATO)  300 mg TABLETA,CENTRO,202111,0,0.5,,,,210
00004,S,ABACAVIR (COMO SULFATO)  300 mg TABLETA,CENTRO,202112,0,0.5,,,,210
00004,S,ABACAVIR (COMO SULFATO)  300 mg TABLETA,CENTRO,202201,0,0.5,,,,210
