codigo_med,tipo_suministro,medicamento,categoria_eess,periodo,cantidad,precio_unitario,valor_2,stock_items,valor_4,consumo_items
04764,D,METOTREXATO  2.5 mg TABLETA,CENTRO,202105,60,0.0,,,,0
04764,D,METOTREXATO  2.5 mg TABLETA,CENTRO,202106,0,0.0,,,,0
04764,D,METOTREXATO  2.5 mg TABLETA,CENTRO,202107,0,0.0,,,,0
04764,D,METOTREXATO  2.5 mg TABLETA,CENTRO,202108,0,0.0,,,,0
04764,D,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202303,0,0.1,,,,26
04764,D,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202304,26,0.0,,,,0
04764,D,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202305,0,0.0,,,,0
04764,D,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202306,0,0.0,,,,0
04764,D,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202307,0,0.0,,,,0
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202104,250,0.18,,250,,582
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202105,52,0.225,,52,,530
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202106,91,0.2,,91,,939
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202107,0,0.2,,,,639
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202108,127,0.2,,127,,612
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202109,175,0.2,8,167,,637
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202110,9,0.1833,,9,,658
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202111,140,0.35,8,140,,1268
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202112,82,0.3111,8,82,,2886
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202201,117,0.35,29,88,,2769
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202202,55,0.38,,55,,2814
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202203,226,0.3727,40,186,,3136
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202204,206,0.35,,206,,2630
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202205,213,0.3167,40,213,,1447
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202206,399,0.3167,40,83,316,930
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202207,149,0.3667,40,149,,1181
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202208,295,0.3667,1,294,316,1086
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202209,190,0.3667,2,188,316,1096
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202210,107,0.42,,107,316,989
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202211,111,0.3667,6,105,316,1878
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202212,372,0.4,36,336,316,1826
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202301,516,0.35,,516,316,1310
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202302,509,0.4,58,451,316,781
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202303,105,0.425,12,93,316,1776
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202304,772,0.4333,,772,316,2304
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202305,573,0.4333,19,554,316,2031
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202306,628,0.45,,628,316,1603
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202307,269,0.45,56,213,316,2834
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202308,427,0.45,,427,316,2207
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202309,666,0.45,56,666,316,1741
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202310,652,0.44,56,652,316,2795
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202311,566,0.3833,56,566,316,3029
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202312,826,0.3,48,778,316,3003
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202401,475,0.2778,4,471,316,2528
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202402,736,0.2778,,596,140,1792
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202403,325,0.2778,30,295,,1467
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202404,217,0.4143,,129,88,1616
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202405,286,0.575,30,286,,1910
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202406,206,0.587,30,194,12,1704
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202407,552,0.604,30,552,,4602
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202408,856,0.6292,30,856,12,4106
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202409,676,0.5375,30,508,168,3820
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202410,592,0.5375,30,426,166,4328
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202411,470,0.525,30,416,54,4408
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202412,1106,0.5333,30,1000,106,3702
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202501,976,0.4333,30,976,,2618
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202502,1224,0.4571,30,792,402,3794
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202503,918,0.4429,,918,,4056
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202504,1103,0.42,30,1103,402,4713
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202505,890,0.3733,30,860,402,5903
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202506,784,0.3813,,784,402,8319
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202507,960,0.3933,30,960,402,7359
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202508,1489,0.3571,230,1259,402,6170
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202509,996,0.3692,,996,402,9124
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202510,1132,0.4,230,1132,402,10362
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202511,1392,0.4133,6,1230,156,9766
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202512,830,0.3647,,734,96,10546
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202601,1632,0.3556,6,1632,,9014
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202602,758,0.355,6,570,188,8860
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202603,905,0.335,6,905,,9345
04764,S,METOTREXATO  2.5 mg TABLETA,CENTRO,202604,1406,0.3211,6,1406,188,7917
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202104,678,0.1,678,,188,1740
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202105,340,0.1,340,1406,188,1400
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202106,1100,0.1,1100,1406,188,7090
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202107,890,0.1,890,1406,188,0
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202108,30,0.25,30,1406,188,260
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202109,20,0.25,20,1406,188,240
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202110,0,0.4,,1406,188,240
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202111,250,0.7,10,1406,188,230
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202112,210,0.7,10,1406,188,20
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202201,640,0.45,640,1406,188,1316
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202202,210,0.45,210,1406,188,1066
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202203,486,0.45,486,1406,188,2450
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202204,1100,0.3667,1100,1406,188,4340
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202205,800,0.3667,800,1406,188,3420
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202206,670,0.2,670,1406,188,3600
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202207,750,0.2,750,1406,188,2690
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202208,1570,0.2,1570,1406,188,2680
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202209,1570,0.2,1570,1406,188,2990
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202210,1810,0.2333,1810,1406,188,3670
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202211,1240,0.2333,1240,1406,188,2240
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202212,560,0.2333,560,1406,188,3180
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202301,275,0.2333,275,1406,188,1085
