codigo,medicamento,consumo_total_items,consumo_secundario_items
22291,OXIGENO MEDICINAL (GAS LIQUIDO) m3 99.5% GAS,41519210,
04523,LOSARTAN POTASICO  50 mg TABLETA,6849902,3710647
03513,ACIDO FOLICO + FERROSO SULFATO (Equiv. de Hierro elemental)  400 µg + 60 mg Fe TABLETA,5331956,3783938
08054,PRESERVATIVOS SIN NONOXINOL   UNIDAD,5948813,2769070
04696,METFORMINA CLORHIDRATO  850 mg TABLETA,4903930,2387674
05335,PARACETAMOL  500 mg TABLETA,3971699,3140832
20635,CARBONATO DE CALCIO  1.25 g (Equiv. a 500 mg de Calcio) TABLETA,3082674,1314214
04982,NAPROXENO  500 mg TABLETA,1984282,1498356
04034,IBUPROFENO  400 mg TABLETA,1744548,1474211
00808,AMOXICILINA  500 mg TABLETA,1301495,1839967
00903,ATORVASTATINA (COMO SAL CALCICA)  20 mg TABLETA,2058942,945622
00091,ACIDO ACETILSALICILICO  100 mg TABLETA,2084310,869872
03758,GLIBENCLAMIDA  5 mg TABLETA,1811926,1066205
23112,GUANTE PARA EXAMEN DESCARTABLE TALLA M   UNIDAD,1980407,844176
00200,ACIDO FOLICO  500 µg (0.5 mg) TABLETA,1410072,973875
05876,SODIO CLORURO 2 mL 900 mg/100 mL (0.9 %) INYECTABLE,2200261,3417
35040,OMEPRAZOL (TABLETA DE LIBERACION MODIFICADA)  20 mg TABLETA,1602461,593758
23127,MASCARILLA DESCARTABLE QUIRURGICA 3 PLIEGUES   UNIDAD,1495456,620051
02149,CLORFENAMINA MALEATO  4 mg TABLETA,1014729,1084661
36271,"JERINGA DESCARTABLE 1 mL CON AGUJA 25 G X 1"" RETRACTIL   UNIDAD",1664476,293988
01532,CARBAMAZEPINA  200 mg TABLETA,1249399,491622
03552,FERROSO SULFATO  300 mg (Equiv. 60 mg Fe) TABLETA,919744,771509
11370,"JERINGA DESCARTABLE 5 mL CON AGUJA 21 G X 1 1/2""   UNIDAD",963554,439597
05694,RISPERIDONA  2 mg TABLETA,1359668,2
01636,CEFALEXINA  500 mg TABLETA,897529,457195
25009,GUANTE PARA EXAMEN DESCARTABLE TALLA L   UNIDAD,985305,358347
20575,OTRAS COMBINACIONES DE MULTIVITAMINAS 1 g  POLVO,933730,362946
34010,GORRO QUIRURGICO DESCARTABLE CON ELASTICO   UNIDAD,211918,1069393
01846,CIPROFLOXACINO (COMO CLORHIDRATO)  500 mg TABLETA,661787,595900
04805,METRONIDAZOL  500 mg TABLETA,713675,433145
03078,ENALAPRIL MALEATO  10 mg TABLETA,616828,522190
00904,ATORVASTATINA (COMO SAL CALCICA)  40 mg TABLETA,859965,268235
03735,GEMFIBROZILO  600 mg TABLETA,732707,308934
03718,GABAPENTINA  300 mg TABLETA,1021860,17105
01522,CAPTOPRIL  25 mg TABLETA,431115,585815
16657,"JERINGA DESCARTABLE 3 mL CON AGUJA 21 G X 1 1/2""   UNIDAD",626310,389763
03080,ENALAPRIL MALEATO  20 mg TABLETA,497893,514190
02788,DICLOFENACO SODICO 3 mL 25 mg/mL INYECTABLE,538628,343133
05807,SERTRALINA  50 mg TABLETA,859656,
02836,DICLOXACILINA (COMO SAL SODICA)  500 mg TABLETA,434922,422381
41694,"LANCETA DESCARTABLE RETRACTIL 23 G GRADUABLE X 1.3 mm, 1.8 mm , 2.3 mm   UNIDAD",433369,400136
11368,"JERINGA DESCARTABLE 10 mL CON AGUJA 21G X 1 1/2""   UNIDAD",556998,206742
05661,RANITIDINA (COMO CLORHIDRATO)  300 mg TABLETA,467260,270093
00673,AMLODIPINO (COMO BESILATO)  5 mg TABLETA,497760,238152
25008,GUANTE PARA EXAMEN DESCARTABLE TALLA S   UNIDAD,455191,236043
03215,ESCOPOLAMINA N-BUTILBROMURO  10 mg TABLETA,423181,243030
33481,MICROCUBETA DESCARTABLE PARA HEMOGLOBINOMETRO HEMOCONTROL   UNIDAD,316113,337910
00750,AMOXICILINA + ACIDO CLAVULANICO (COMO SAL POTASICA)  500 mg + 125 mg TABLETA,545566,96826
01964,CLINDAMICINA (COMO CLORHIDRATO)  300 mg TABLETA,385739,187378
10326,BAJALENGUA DE MADERA PEDIATRICO   UNIDAD,335295,235541
31385,LAMINA PORTA OBJETO 25 mm X 75 mm   UNIDAD,483875,85675
11374,"JERINGA DESCARTABLE 1 mL CON AGUJA 25 G X 1"" - - UNIDAD",420373,141086
20036,SALES DE REHIDRATACION ORAL 20.5 g/L  POLVO,340811,177454
20424,LAMINILLA CUBRE OBJETO 22 mm X 22 mm   UNIDAD,469387,40427
23875,VACUNA CONTRA LA INFLUENZA ESTACIONARIA - ADULTO 1 DOSIS (0.5 mL)  INYECTABLE,343733,164550
03515,SULFAMETOXAZOL + TRIMETOPRIMA  800 mg + 160 mg TABLETA,195030,301215
03624,FLUOXETINA (COMO CLORHIDRATO)  20 mg TABLETA,491363,
24760,ORFENADRINA CITRATO(TABLETA LIBERACION MODIFICADA)  100 mg TABLETA,334346,152355
03519,FERROSO SULFATO 180 mL 75 mg (equiv. 15 mg Fe)/5 mL JARABE,266625,209211
10325,BAJALENGUA DE MADERA ADULTO   UNIDAD,331072,140123
02891,DIMENHIDRINATO  50 mg TABLETA,258158,195136
02003,CLONAZEPAM  500 µg (0.5 mg) TABLETA,446676,477
01243,BIPERIDENO CLORHIDRATO  2 mg TABLETA,441815,0
40803,VALPROATO SODICO (TABLETA DE LIBERACION MODIFICADA)  500 mg TABLETA,422801,290
02642,DEXAMETASONA FOSFATO (COMO SAL SODICA) 2 mL 4 mg/2 mL INYECTABLE,260518,154496
03191,ERITROMICINA  500 mg TABLETA,116967,285370
00627,AMIKACINA (COMO SULFATO) 2 mL 250 mg/mL INYECTABLE,259823,142228
41842,DOLUTEGRAVIR + LAMIVUDINA + TENOFOVIR  50 mg + 300 mg + 300 mg TABLETA,398543,0
03018,DOXICICLINA  100 mg TABLETA,199308,193916
04514,LORATADINA  10 mg TABLETA,252412,138934
18158,CEFTRIAXONA SODICA (COMO SAL SODICA) CON DILUYENTE  1 g INYECTABLE,282030,74630
24189,TIRA REACTIVA PARA ORINA DE 11 PARAMETROS - - UNIDAD,219622,134805
31340,TUBO PARA EXTRACCION DE SANGRE CON SISTEMA DE VACIO DE POLIPROPILENO DE 3 mL CON EDTA DIPOTASICO   UNIDAD,323584,29717
03920,HIDROCLOROTIAZIDA  12.5 mg TABLETA,231836,115370
10437,TUBO CAPILAR PARA HEMATOCRITO SIN HEPARINA   UNIDAD,320102,23433
11369,"JERINGA DESCARTABLE 20 mL CON AGUJA 21 G X 1 1/2""   UNIDAD",264361,65714
04168,ISONIAZIDA  100 mg TABLETA,261212,65945
06127,TIAMINA CLORHIDRATO  100 mg TABLETA,317868,6170
03234,ESTRADIOL CIPIONATO + MEDROXIPROGESTERONA ACETATO 0.5 mL 5 mg + 25 mg/0.5 mL INYECTABLE,162740,160416
00947,AZITROMICINA  500 mg TABLETA,190512,125709
02004,CLONAZEPAM  2 mg TABLETA,315375,430
05103,NITROFURANTOINA  100 mg TABLETA,156753,155364
00671,AMLODIPINO (COMO BESILATO)  10 mg TABLETA,187812,122554
37326,GORRO DE CIRUGIA TIPO GUSANO PARA ENFERMERA   UNIDAD,216987,85961
03536,FERROSO SULFATO 30 mL 25 mg de Fe/mL SOLUCION,175435,121955
31100,PRUEBA RAPIDA PARA VIH 1-2 y SIFILIS 1 DET  KIT,200058,97166
04594,MEDROXIPROGESTERONA ACETATO 1 mL 150 mg/mL INYECTABLE,160974,134553
05873,SODIO CLORURO 1 L 900 mg/100 mL (0.9 %) INYECTABLE,245218,47462
10436,TUBO CAPILAR PARA HEMATOCRITO CON HEPARINA - - UNIDAD,269800,22054
00269,ALBENDAZOL  200 mg TABLETA,90717,197755
31858,"JERINGA DESCARTABLE 1 mL CON AGUJA 25 G X 5/8"" RETRACTIL   UNIDAD",225734,58660
05309,PARACETAMOL 60 mL 120 mg/5 mL JARABE,157013,125389
02657,DEXAMETASONA  4 mg TABLETA,85300,194131
