file,literal,territorial
query_20260516_153654.json,'''data_historica_dispo12_consumo''[mesano]',False
query_20260516_153654.json,2D,False
query_20260516_153654.json,2D,False
query_20260516_153654.json,1D,False
query_20260516_153654.json,1D,False
query_20260516_153654.json,1D,False
query_20260516_153654.json,'(04764) METOTREXATO  2.5 mg TABLETA',False
query_20260516_153654.json,'''data_historica_dispo12_consumo''[m_consumo]',False
query_20260516_153654.json,null,False
query_20260516_153654.json,null,False
query_20260516_153654.json,'',False
query_20260516_153654.json,null,False
query_20260516_153654.json,'ALM_LOG',False
query_20260516_153654.json,'ALMACEN',False
query_20260516_153654.json,'SUBALMACEN',False
query_20260516_153654.json,'X',False
query_20260516_153654.json,null,False
