node_id,tw_start,tw_end,tw_type
DEPOT_DSRSLCC,08:00,16:00,DEPOT
1911,08:00,16:00,NORMAL
1916,08:00,16:00,NORMAL
1920,08:00,16:00,NORMAL
1921,08:00,16:00,NORMAL
1923,08:00,16:00,NORMAL
1926,08:00,16:00,NORMAL
1932,08:00,16:00,NORMAL
1934,08:00,16:00,NORMAL
1936,08:00,16:00,NORMAL
1939,08:00,16:00,NORMAL
1942,08:00,16:00,NORMAL
1943,08:00,16:00,NORMAL
1944,08:00,16:00,NORMAL
1945,08:00,16:00,NORMAL
1953,08:00,16:00,NORMAL
1955,08:00,16:00,NORMAL
1959,08:00,16:00,NORMAL
1962,08:00,16:00,NORMAL
1965,08:00,16:00,NORMAL
1970,08:00,16:00,NORMAL
1974,08:00,16:00,NORMAL
1977,08:00,16:00,NORMAL
1978,08:00,16:00,NORMAL
1986,08:00,16:00,NORMAL
1987,08:00,16:00,NORMAL
1988,08:00,16:00,NORMAL
1996,08:00,16:00,NORMAL
2001,08:00,16:00,NORMAL
2011,08:00,16:00,NORMAL
2012,08:00,16:00,NORMAL
2016,08:00,16:00,NORMAL
2017,08:00,16:00,NORMAL
2018,08:00,16:00,NORMAL
2019,08:00,16:00,NORMAL
2020,08:00,16:00,NORMAL
2022,08:00,16:00,NORMAL
2023,08:00,16:00,NORMAL
2024,08:00,16:00,NORMAL
2025,08:00,16:00,NORMAL
2026,08:00,16:00,NORMAL
2027,08:00,16:00,NORMAL
2028,08:00,16:00,NORMAL
2029,08:00,16:00,NORMAL
2030,08:00,16:00,NORMAL
2032,08:00,16:00,NORMAL
2033,08:00,16:00,NORMAL
2035,08:00,16:00,NORMAL
2037,08:00,16:00,NORMAL
2038,08:00,16:00,NORMAL
2040,08:00,16:00,NORMAL
2042,08:00,16:00,NORMAL
2043,08:00,16:00,NORMAL
2044,08:00,16:00,NORMAL
2045,08:00,16:00,NORMAL
2046,08:00,16:00,NORMAL
2047,08:00,16:00,NORMAL
2048,08:00,16:00,NORMAL
2049,08:00,16:00,NORMAL
2050,08:00,16:00,NORMAL
2052,08:00,16:00,NORMAL
2056,08:00,16:00,NORMAL
2058,08:00,16:00,NORMAL
2060,08:00,16:00,NORMAL
2065,08:00,16:00,NORMAL
2073,08:00,16:00,NORMAL
2074,08:00,16:00,NORMAL
2075,08:00,16:00,NORMAL
2076,08:00,16:00,NORMAL
2077,08:00,16:00,NORMAL
2078,08:00,16:00,NORMAL
2079,08:00,16:00,NORMAL
2080,08:00,16:00,NORMAL
2081,08:00,16:00,NORMAL
2083,08:00,16:00,NORMAL
6627,08:00,16:00,NORMAL
7718,08:00,16:00,NORMAL
10726,08:00,16:00,NORMAL
10727,08:00,16:00,NORMAL
19125,08:00,16:00,NORMAL
19837,08:00,16:00,NORMAL
19844,08:00,16:00,NORMAL
