stage,uid,selector,index,x,y,width,height,type,role,placeholder,aria,title,value,text,class
AFTER,1,input,1,67.5,235.14,13.93,13.93,checkbox,,,,,on,,
AFTER,2,input,2,67.5,253.36,13.93,13.93,checkbox,,,,,on,,
AFTER,3,input,3,67.5,271.57,13.93,13.93,checkbox,,,,,on,,
AFTER,4,input,4,67.5,289.79,13.93,13.93,checkbox,,,,,on,,
AFTER,5,input,5,67.5,308.0,13.93,13.93,checkbox,,,,,on,,
AFTER,6,input,6,67.5,326.21,13.93,13.93,checkbox,,,,,on,,
AFTER,7,input,7,67.5,344.43,13.93,13.93,checkbox,,,,,on,,
AFTER,8,input,8,67.5,362.64,13.93,13.93,checkbox,,,,,on,,
AFTER,9,input,9,67.5,380.86,13.93,13.93,checkbox,,,,,on,,
AFTER,10,input,10,67.5,399.07,13.93,13.93,checkbox,,,,,on,,
AFTER,11,input,11,67.5,417.29,13.93,13.93,checkbox,,,,,on,,
AFTER,12,input,12,67.5,435.5,13.93,13.93,checkbox,,,,,on,,
AFTER,13,input,13,67.5,453.71,13.93,13.93,checkbox,,,,,on,,
AFTER,14,input,14,67.5,471.93,13.93,13.93,checkbox,,,,,on,,
AFTER,15,input,15,67.5,490.14,13.93,13.93,checkbox,,,,,on,,
AFTER,16,input,16,67.5,508.36,13.93,13.93,checkbox,,,,,on,,
AFTER,17,input,17,67.5,526.57,13.93,13.93,checkbox,,,,,on,,
AFTER,18,input,18,67.5,544.79,13.93,13.93,checkbox,,,,,on,,
AFTER,19,input,19,67.5,563.0,13.93,13.93,checkbox,,,,,on,,
AFTER,20,input,20,67.5,581.21,13.93,13.93,checkbox,,,,,on,,
AFTER,21,input,21,67.5,599.43,13.93,13.93,checkbox,,,,,on,,
AFTER,22,input,22,67.5,617.64,13.93,13.93,checkbox,,,,,on,,
AFTER,23,input,23,67.5,635.86,13.93,13.93,checkbox,,,,,on,,
AFTER,24,input,24,67.5,654.07,13.93,13.93,checkbox,,,,,on,,
AFTER,25,input,25,67.5,672.29,13.93,13.93,checkbox,,,,,on,,
AFTER,26,input,26,67.5,690.5,13.93,13.93,checkbox,,,,,on,,
AFTER,27,input,27,67.5,708.71,13.93,13.93,checkbox,,,,,on,,
AFTER,28,input,28,82.77,128.86,695.24,21.43,text,,Buscar,Buscar,,,,searchInput
