index,x,y,width,height,comboboxes,text_preview
0,0,0,1280,48,0,
1,374,0,537,46,0,"CONSUMO HISTÓRICO DE PRODUCTOS FARMACÉUTICOS, DISPOSITIVOS MÉDICOS Y PRODUCTOS SANITARIOS"
2,1184,2,89,41,0,
3,0,3,274,43,0,
4,25,48,539,53,1,"Establecimiento
Todas"
5,1036,50,115,53,0,"Periodo más antiguo

202104"
6,1154,50,114,53,0,"Periodo más reciente

202604"
7,12,100,127,36,0,"Años
Meses"
8,160,103,85,22,0,Filtros
9,253,103,107,23,0,Tabla 1 (país)
10,366,103,122,23,0,Tabla det. 2 (DISA)
11,496,103,121,23,0,Tabla det. 3 (EESS)
12,623,103,115,22,0,Tabla det. 4 (UE)
13,757,104,102,22,0,Gráfico acum.
14,866,104,107,22,0,Gráfico por cód
15,982,104,103,22,0,Gráfico Disp.
16,1074,138,77,22,0,Descargar
17,40,138,918,378,0,"Desplazarse hacia arriba
Desplazarse hacia abajo
Desplazar a la izquierda
Desplazar a la derecha
Selección de fila
Tipo Reportante
Codigo_med
Producto
 
Tipsum
Meses
Stock.
Consumo
Precio ICI
Consumo_venta
Consumo_sis
Consumo_intersan
Seleccionar fila
CENTRO
04764
METOTREXATO 2.5 mg TABLETA
D
202105
0
60
0,0
 
 
 
Seleccionar fila
CENTRO
04764
METOTREXATO 2.5 mg TABLETA
D
202106
0
0
0,0
 
 
 
Seleccionar fila
CENTRO
04764
METOTREXATO 2.5 mg TABLETA
D
202107
0
0
0,0
 
 
 
Seleccionar fila
CENTRO
"
18,966,167,307,158,0,"Consumo Acumulado por tipo
Ventas 385.619 (5,2%)
SIS 6.252.736 (84,7%)
InterSan 739.575 (10,0%)"
19,966,336,308,182,0,"Consumo Acumulado por tipo EESS
33.827
61.932
6.559.721
874.693
1.764
CENTRO
FARMACIA INST…
HOSPITAL
INSTITUTO
PUESTO"
20,912,517,353,30,0,Núm. de registros declarados 6.700
21,0,522,1280,26,0,
22,15,523,383,22,0,GESTIÓN DE INFORMACIÓN SISMED- EAM/DFAU/DIGEMID/DVMSP/MINSA
