experiment,feasible,n_vehicles,total_capacity_kg,n_routes,expected_cost,std_cost,reliability,cap_violation_rate,tw_violation_rate,CVaR_0.05,utilization_mean,service_level,demand_capacity_ratio,cap_excess_mean
baseline,True,16,50000.0,10,8149.759240713337,2217.6403670342943,0.065,0.935,0.1,13404.081967986065,0.6450434,1.0,0.32337,304.77
cap_+10%,True,16,55000.00000000001,11,7779.733909196937,2070.727233968781,0.145,0.845,0.015,13200.0202728333,0.5638491258741258,1.0,0.2939727272727272,220.26
cap_+20%,True,16,60000.0,9,7217.9815146720475,2282.518551403252,0.11,0.88,0.095,12743.095151035684,0.7072844298245613,1.0,0.269475,248.65
cap_+50%,True,16,75000.0,9,7376.9570108951775,2705.111768023643,0.135,0.86,0.035,14486.743374531541,0.6515589898989899,1.0,0.21558,283.21
buffer_85%,True,16,42500.0,9,6516.773784626973,1368.1330116256972,0.25,0.75,0.0,10263.114693717882,0.5579960207612457,1.0,0.38043529411764704,128.275
buffer_75%,True,16,37500.0,9,6193.925908144192,924.3386487105254,0.43,0.555,0.035,8729.221362689645,0.5513191452991453,1.0,0.43116,67.75
no_hilux_+NLR,True,16,65000.0,9,5385.710422566788,264.95727957540623,0.955,0.035,0.01,6000.81951347588,0.5119392063492063,1.0,0.24874615384615384,3.53
no_hilux_+FUSO,True,16,80000.0,9,5818.338539238474,7.0,0.98,0.0,0.02,5835.520357420293,0.3665019318181818,1.0,0.20210625,0.0
extra_ducato,True,18,56000.0,10,7802.938034983077,2065.6476248382733,0.12,0.88,0.025,12136.69258043762,0.5375361666666667,1.0,0.2887232142857143,259.045
extra_NLR,True,20,64000.0,9,7002.070102352794,1940.4069618252765,0.16,0.84,0.0,12084.129193261884,0.6719202083333333,1.0,0.2526328125,199.885
