Experimento,Vehículos,Capacidad (kg),Rutas,E[Costo] (S/),Reliability (%),Cap Viol (%),CVaR 5% (S/),D/C Ratio
baseline,16,"50,000",10,"8,150",6.5,93.5,"13,404",0.323
cap_+10%,16,"55,000",11,"7,780",14.5,84.5,"13,200",0.294
cap_+20%,16,"60,000",9,"7,218",11.0,88.0,"12,743",0.269
cap_+50%,16,"75,000",9,"7,377",13.5,86.0,"14,487",0.216
buffer_85%,16,"42,500",9,"6,517",25.0,75.0,"10,263",0.380
buffer_75%,16,"37,500",9,"6,194",43.0,55.5,"8,729",0.431
no_hilux_+NLR,16,"65,000",9,"5,386",95.5,3.5,"6,001",0.249
no_hilux_+FUSO,16,"80,000",9,"5,818",98.0,0.0,"5,836",0.202
extra_ducato,18,"56,000",10,"7,803",12.0,88.0,"12,137",0.289
extra_NLR,20,"64,000",9,"7,002",16.0,84.0,"12,084",0.253
