scenario,total_cost,base_cost,cost_variable,cost_fixed,cost_penalty,total_distance_km,tw_violations,cap_violations,cap_excess_kg,nodes_served,nodes_total,service_level,total_load_kg,n_routes,avg_utilization
0,8358.856326385037,5088.8563263850365,4058.8563263850365,1030.0,3270.0,2019.5987570290986,0,3,327.0,81,81,1.0,16611,10,0.66444
1,8718.856326385037,5088.8563263850365,4058.8563263850365,1030.0,3630.0,2019.5987570290986,0,3,363.0,81,81,1.0,16204,10,0.64816
2,6228.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,1140.0,2019.5987570290986,0,1,114.0,81,81,1.0,17096,10,0.68384
3,13028.856326385037,5088.8563263850365,4058.8563263850365,1030.0,7940.0,2019.5987570290986,0,2,794.0,81,81,1.0,17660,10,0.7064
4,9508.856326385037,5088.8563263850365,4058.8563263850365,1030.0,4420.0,2019.5987570290986,0,2,442.0,81,81,1.0,16050,10,0.642
5,6708.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,1620.0,2019.5987570290986,0,2,162.0,81,81,1.0,15951,10,0.63804
6,5988.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,900.0,2019.5987570290986,1,1,85.0,81,81,1.0,14937,10,0.59748
7,11028.856326385037,5088.8563263850365,4058.8563263850365,1030.0,5940.0,2019.5987570290986,0,3,594.0,81,81,1.0,15756,10,0.63024
8,7818.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,2730.0,2019.5987570290986,0,3,273.0,81,81,1.0,15810,10,0.6324
9,6828.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,1740.0,2019.5987570290986,1,3,169.0,81,81,1.0,15205,10,0.6082
10,8578.856326385037,5088.8563263850365,4058.8563263850365,1030.0,3490.0,2019.5987570290986,0,2,349.0,81,81,1.0,16394,10,0.65576
11,8128.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,3040.0,2019.5987570290986,0,2,304.0,81,81,1.0,16739,10,0.66956
12,7738.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,2650.0,2019.5987570290986,0,3,265.0,81,81,1.0,16696,10,0.66784
13,8588.856326385037,5088.8563263850365,4058.8563263850365,1030.0,3500.0,2019.5987570290986,1,3,345.0,81,81,1.0,16039,10,0.64156
14,8598.856326385037,5088.8563263850365,4058.8563263850365,1030.0,3510.0,2019.5987570290986,0,2,351.0,81,81,1.0,15184,10,0.60736
15,6938.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,1850.0,2019.5987570290986,0,2,185.0,81,81,1.0,15115,10,0.6046
16,10988.856326385037,5088.8563263850365,4058.8563263850365,1030.0,5900.0,2019.5987570290986,0,3,590.0,81,81,1.0,17008,10,0.68032
17,8488.856326385037,5088.8563263850365,4058.8563263850365,1030.0,3400.0,2019.5987570290986,0,3,340.0,81,81,1.0,16341,10,0.65364
18,7148.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,2060.0,2019.5987570290986,0,1,206.0,81,81,1.0,17610,10,0.7044
19,8998.856326385037,5088.8563263850365,4058.8563263850365,1030.0,3910.0,2019.5987570290986,0,1,391.0,81,81,1.0,15272,10,0.61088
20,5958.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,870.0,2019.5987570290986,0,1,87.0,81,81,1.0,16029,10,0.64116
21,6138.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,1050.0,2019.5987570290986,0,1,105.0,81,81,1.0,16245,10,0.6498
22,11348.856326385037,5088.8563263850365,4058.8563263850365,1030.0,6260.0,2019.5987570290986,0,4,626.0,81,81,1.0,15700,10,0.628
23,6178.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,1090.0,2019.5987570290986,0,1,109.0,81,81,1.0,16007,10,0.64028
24,5198.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,110.0,2019.5987570290986,0,1,11.0,81,81,1.0,14941,10,0.59764
25,5598.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,510.0,2019.5987570290986,0,1,51.0,81,81,1.0,16942,10,0.67768
