metric,value
n_scenarios,100
expected_cost,8109.156326385038
std_cost,2092.5919119599025
cv_cost,0.2580529746542393
min_cost,5088.8563263850365
max_cost,16128.856326385037
median_cost,7868.8563263850365
expected_distance_km,2019.598757029099
expected_load_kg,16070.94
service_level_mean,1.0
service_level_min,1.0
tw_violation_rate,0.1
tw_violations_mean,0.1
cap_violation_rate,0.97
cap_violations_mean,2.08
utilization_mean,0.6428376
utilization_std,0.03167459944876968
route_reliability,0.03
VaR_0.01,13548.856326385037
CVaR_0.01,14838.856326385037
VaR_0.05,11348.856326385037
CVaR_0.05,12962.189659718371
VaR_0.1,10988.856326385037
CVaR_0.1,12120.674508203218
ci95_lower,7699.008311640897
ci95_upper,8519.304341129178
