metric,value
n_scenarios,500
expected_cost,8213.296326385038
std_cost,2384.077743363249
cv_cost,0.29027051364315815
min_cost,5088.8563263850365
max_cost,17808.856326385037
median_cost,7838.8563263850365
expected_distance_km,2019.5987570290986
expected_load_kg,16217.026
service_level_mean,1.0
service_level_min,1.0
tw_violation_rate,0.084
tw_violations_mean,0.086
cap_violation_rate,0.928
cap_violations_mean,2.16
utilization_mean,0.6486810399999999
utilization_std,0.034636149008202395
route_reliability,0.062
VaR_0.01,15628.856326385037
CVaR_0.01,16398.856326385037
VaR_0.05,12788.856326385037
CVaR_0.05,14149.240941769654
VaR_0.1,11548.856326385037
CVaR_0.1,13087.091620502686
ci95_lower,8004.322698391101
ci95_upper,8422.269954378975
